company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,388.60,367.80,385.95,367.10,18.85,5.13
Hero Motocorp,"2,922.00","2,802.15","2,913.30","2,788.20",125.1,4.49
Wipro,514.80,487.25,512.30,490.60,21.7,4.42
Tata Motors,302.00,290.30,301.25,291.50,9.75,3.34
Eicher Motors,"2,447.95","2,377.00","2,443.25","2,372.40",70.85,2.99
Tata Steel,"1,129.00","1,042.50","1,100.90","1,070.15",30.75,2.87
Bajaj Auto,"3,970.00","3,852.00","3,941.20","3,843.80",97.4,2.53
HDFC,"2,435.00","2,382.00","2,430.10","2,377.60",52.5,2.21
BPCL,435.00,424.15,434.00,424.80,9.2,2.17
Grasim,"1,450.00","1,418.10","1,447.90","1,420.90",27,1.9
Tech Mahindra,984.70,957.85,977.95,960.40,17.55,1.83
JSW Steel,742.00,718.00,729.80,717.70,12.1,1.69
Infosys,"1,364.70","1,337.40","1,361.60","1,341.50",20.1,1.5
Maruti Suzuki,"6,709.00","6,575.70","6,666.65","6,590.10",76.55,1.16
Titan Company,"1,448.45","1,431.00","1,444.40","1,428.40",16,1.12
Coal India,135.45,133.75,134.60,133.15,1.45,1.09
Nestle,"16,769.80","16,525.05","16,717.60","16,549.25",168.35,1.02
Kotak Mahindra,"1,793.70","1,763.20","1,788.25","1,770.75",17.5,0.99
ICICI Bank,610.85,599.25,608.20,602.80,5.4,0.9
HCL Tech,923.90,901.25,916.00,909.40,6.6,0.73
Divis Labs,"4,084.40","4,018.00","4,063.05","4,035.45",27.6,0.68
ITC,205.95,202.10,202.75,201.40,1.35,0.67
TATA Cons. Prod,654.95,638.15,653.10,649.05,4.05,0.62
Reliance,"1,935.00","1,906.60","1,931.00","1,920.10",10.9,0.57
TCS,"3,134.00","3,074.00","3,111.45","3,095.70",15.75,0.51
IOC,93.15,92.00,92.60,92.20,0.4,0.43
UltraTechCement,"6,429.90","6,314.00","6,405.45","6,380.35",25.1,0.39
Adani Ports,753.70,735.60,740.80,738.10,2.7,0.37
Bajaj Finance,"5,619.90","5,473.35","5,528.80","5,515.15",13.65,0.25
Dr Reddys Labs,"5,252.00","5,130.00","5,168.45","5,160.95",7.5,0.15
Larsen,"1,356.55","1,335.75","1,339.90","1,338.65",1.25,0.09
SBI,359.35,350.55,355.55,355.40,0.15,0.04
Britannia,"3,491.50","3,439.70","3,452.05","3,451.60",0.45,0.01
