company_name,high,low,last_price,prev_close,change,percent_gain
Adani Trans,"2,965.00","2,711.20","2,889.15","2,730.80",158.35,5.8
Anupam Rasayan,749.95,706.10,741.20,705.55,35.65,5.05
Ceat,"1,232.55","1,116.05","1,225.85","1,167.05",58.8,5.04
Hind Zinc,288.00,280.00,283.70,271.65,12.05,4.44
Schaeffler Ind,"2,409.00","2,285.60","2,392.40","2,291.85",100.55,4.39
Edelweiss,58.25,54.60,57.20,54.85,2.35,4.28
Jindal Stainles,112.60,107.20,111.75,107.20,4.55,4.24
Aarti Drugs,445.60,419.70,434.15,417.65,16.5,3.95
Petronet LNG,225.95,217.30,225.35,217.30,8.05,3.7
Adani Total Gas,"2,832.00","2,601.00","2,764.85","2,672.10",92.75,3.47
Blue Star,984.00,935.55,975.45,943.35,32.1,3.4
CreditAccess Gr,"1,039.90",990.35,"1,033.15",999.45,33.7,3.37
Bharat Forge,664.50,633.00,659.30,638.40,20.9,3.27
Zydus Wellness,"1,619.80","1,580.35","1,607.50","1,563.05",44.45,2.84
Mahindra CIE,248.70,231.90,239.40,232.85,6.55,2.81
Shriram City,"1,809.20","1,717.00","1,796.30","1,747.80",48.5,2.77
Kalyan Jeweller,67.10,63.90,65.65,63.90,1.75,2.74
Fortis Health,260.00,251.00,259.10,252.60,6.5,2.57
HPCL,239.05,231.95,237.85,232.05,5.8,2.5
KRBL,249.40,234.65,246.05,240.05,6,2.5
Vijaya Diagnost,324.00,311.70,321.25,313.70,7.55,2.41
Polyplex Corp,"2,295.00","2,200.45","2,264.90","2,211.95",52.95,2.39
Natco Pharma,664.00,634.00,650.00,634.90,15.1,2.38
Star Health,601.00,572.00,596.40,582.65,13.75,2.36
Bajaj Electric,"1,142.00","1,102.95","1,138.85","1,112.65",26.2,2.35
Route,"1,313.00","1,257.55","1,304.00","1,274.65",29.35,2.3
Sun Pharma,882.95,864.20,879.90,860.15,19.75,2.3
AIA Engineering,"2,328.75","2,243.25","2,316.75","2,264.90",51.85,2.29
CESC,75.00,72.65,74.70,73.05,1.65,2.26
Guj Amb Exports,313.95,304.60,310.85,304.00,6.85,2.25
United Spirits,831.90,807.85,824.90,806.75,18.15,2.25
NHPC,34.50,33.45,34.20,33.45,0.75,2.24
ONGC,132.60,123.80,127.15,124.45,2.7,2.17
United Brewerie,"1,652.70","1,615.05","1,649.05","1,614.40",34.65,2.15
Aster DM Health,200.00,193.40,198.85,194.75,4.1,2.11
Elgi Equipments,377.00,364.55,373.80,366.20,7.6,2.08
Shriram Trans,"1,299.45","1,270.05","1,294.95","1,268.90",26.05,2.05
Guj State Petro,233.75,225.10,231.85,227.25,4.6,2.02
SJVN,28.65,27.65,28.50,27.95,0.55,1.97
Gujarat Fluoro,"3,195.80","3,076.10","3,167.45","3,109.35",58.1,1.87
BHEL,49.50,48.20,49.25,48.35,0.9,1.86
NESCO,584.00,562.30,579.80,569.30,10.5,1.84
Whirlpool,"1,673.70","1,640.00","1,671.05","1,641.90",29.15,1.78
Laurus Labs,531.70,513.50,521.65,512.65,9,1.76
KEC Intl,459.50,440.10,455.85,448.10,7.75,1.73
Blue Dart,"8,160.00","7,979.15","8,133.90","7,996.30",137.6,1.72
Bharat Elec,237.95,233.65,237.40,233.45,3.95,1.69
CSB Bank,203.00,194.00,200.40,197.10,3.3,1.67
Torrent Power,491.00,482.50,489.90,481.85,8.05,1.67
KNR Construct,253.25,246.55,250.05,246.00,4.05,1.65
Dr Reddys Labs,"4,608.00","4,503.05","4,575.40","4,501.60",73.8,1.64
Jindal Steel,364.30,354.80,361.15,355.35,5.8,1.63
Ipca Labs,"1,010.00",974.85,990.50,974.85,15.65,1.61
Kotak Mahindra,"1,777.00","1,737.05","1,770.05","1,742.05",28,1.61
JSW Energy,234.70,228.20,231.95,228.35,3.6,1.58
Alkem Lab,"3,200.00","3,138.00","3,188.65","3,140.55",48.1,1.53
KPR Mill,520.00,503.10,513.50,505.75,7.75,1.53
ICICI Lombard ,"1,254.25","1,230.40","1,250.70","1,231.95",18.75,1.52
Maruti Suzuki,"8,587.35","8,450.00","8,567.75","8,440.20",127.55,1.51
One 97 Paytm,739.15,708.25,718.35,707.75,10.6,1.5
Linde India,"3,574.00","3,461.05","3,509.20","3,458.85",50.35,1.46
Max Healthcare,374.75,366.50,373.60,368.25,5.35,1.45
Westlife Dev,530.00,516.00,526.95,519.80,7.15,1.38
CG Consumer,392.80,374.50,389.05,383.85,5.2,1.35
Interglobe Avi,"1,775.00","1,728.15","1,761.00","1,737.70",23.3,1.34
