company_name,high,low,last_price,prev_close,change,percent_gain
Adani Ports,764.00,713.75,761.40,730.05,31.35,4.29
Bharti Airtel,562.50,529.05,558.85,536.75,22.1,4.12
SBI Life Insura,980.00,916.05,958.60,928.70,29.9,3.22
Tata Steel,"1,069.00","1,018.50","1,064.75","1,034.00",30.75,2.97
HUL,"2,415.00","2,340.00","2,408.00","2,353.75",54.25,2.3
Maruti Suzuki,"6,622.00","6,400.00","6,597.85","6,455.65",142.2,2.2
Bajaj Finance,"5,580.00","5,291.25","5,551.15","5,451.90",99.25,1.82
Asian Paints,"2,595.10","2,505.60","2,582.15","2,536.40",45.75,1.8
UPL,619.75,596.15,617.80,606.90,10.9,1.8
NTPC,104.60,101.05,104.25,102.45,1.8,1.76
Hindalco,373.20,357.65,369.95,364.40,5.55,1.52
Nestle,"16,574.95","16,272.65","16,506.75","16,309.25",197.5,1.21
TATA Cons. Prod,682.50,661.00,677.10,669.50,7.6,1.14
UltraTechCement,"6,380.00","6,150.00","6,350.15","6,278.95",71.2,1.13
HDFC Life,674.50,657.15,671.90,665.10,6.8,1.02
HCL Tech,910.45,891.00,907.70,898.95,8.75,0.97
Grasim,"1,425.05","1,374.25","1,414.55","1,401.75",12.8,0.91
JSW Steel,730.00,710.60,723.25,717.85,5.4,0.75
Sun Pharma,663.95,650.10,659.20,654.45,4.75,0.73
IOC,91.90,89.55,91.45,90.85,0.6,0.66
Bajaj Auto,"3,906.80","3,785.00","3,851.85","3,833.75",18.1,0.47
Dr Reddys Labs,"5,212.35","5,140.00","5,185.95","5,163.10",22.85,0.44
Power Grid Corp,222.85,216.75,220.80,220.05,0.75,0.34
Divis Labs,"4,147.30","4,025.05","4,074.00","4,062.35",11.65,0.29
Shree Cements,"28,080.55","27,327.60","27,989.85","27,910.50",79.35,0.28
HDFC Bank,"1,421.90","1,377.30","1,414.45","1,412.30",2.15,0.15
Larsen,"1,351.30","1,319.15","1,342.50","1,340.45",2.05,0.15
M&M,766.55,740.05,752.95,752.55,0.4,0.05
TCS,"3,055.00","3,004.00","3,037.00","3,035.65",1.35,0.04
