company_name,high,low,last_price,prev_close,change,percent_gain
Angel One,"1,671.80","1,427.80","1,619.05","1,417.40",201.65,14.23
IFB Industries,"1,014.00",895.00,996.70,880.35,116.35,13.22
KEI Industries,"1,195.90","1,015.00","1,131.55","1,004.25",127.3,12.68
Brigade Ent,540.00,481.60,529.15,479.00,50.15,10.47
Greaves Cotton,180.45,164.95,177.30,163.05,14.25,8.74
EIH,142.00,129.60,139.25,128.40,10.85,8.45
Bharat Dynamics,612.00,560.05,599.50,555.10,44.4,8
Trent,"1,284.00","1,187.00","1,262.05","1,171.25",90.8,7.75
Solar Ind,"2,620.80","2,417.80","2,586.85","2,405.75",181.1,7.53
GNFC,768.60,704.05,759.30,707.75,51.55,7.28
Motilal Oswal,929.00,838.40,892.25,831.75,60.5,7.27
Radico Khaitan,970.00,904.30,963.45,899.25,64.2,7.14
L&T Finance,71.80,67.10,71.35,66.60,4.75,7.13
Indo Count,175.50,163.40,170.80,160.40,10.4,6.48
Timken,"2,232.20","2,084.00","2,198.75","2,065.10",133.65,6.47
Coromandel Int,855.75,801.30,849.45,799.80,49.65,6.21
Kansai Nerolac,480.85,452.20,475.85,448.60,27.25,6.07
Piramal Enter,"2,297.45","2,187.20","2,286.05","2,161.40",124.65,5.77
Jindal Saw,96.70,91.05,93.05,88.05,5,5.68
Kaveri Seed,560.00,525.00,551.35,522.25,29.1,5.57
ITI,104.90,97.35,102.65,97.25,5.4,5.55
HDFC,"2,423.80","2,346.00","2,415.25","2,292.10",123.15,5.37
Ajanta Pharma,"1,970.00","1,833.05","1,940.50","1,845.55",94.95,5.14
Prestige Estate,486.00,463.00,483.20,459.80,23.4,5.09
ICICI Prudentia,494.95,470.60,492.30,468.50,23.8,5.08
Adani Total Gas,"1,769.35","1,682.25","1,766.80","1,685.10",81.7,4.85
Gujarat Fluoro,"3,071.05","2,950.00","3,066.40","2,924.85",141.55,4.84
United Spirits,922.00,885.75,919.55,877.25,42.3,4.82
SRF,"2,596.30","2,485.10","2,588.20","2,469.20",119,4.82
JK Tyre & Ind,113.30,107.75,112.05,107.10,4.95,4.62
Godrej Prop,"1,604.20","1,545.00","1,596.40","1,526.35",70.05,4.59
JSW Steel,692.95,660.35,685.10,655.25,29.85,4.56
Vinati Organics,"1,969.95","1,877.25","1,948.65","1,864.45",84.2,4.52
Titan Company,"2,721.65","2,600.10","2,703.00","2,587.30",115.7,4.47
Shoppers Stop,407.45,390.00,404.05,387.05,17,4.39
Jindal Stainles,189.30,181.45,187.65,179.85,7.8,4.34
ICICI Securitie,643.00,609.00,625.90,600.15,25.75,4.29
TTK Prestige,863.15,834.65,860.00,824.90,35.1,4.26
Rail Vikas,35.25,33.80,34.55,33.15,1.4,4.22
Sudarshan Chem,571.80,546.10,567.40,544.45,22.95,4.22
ICICI Lombard ,"1,274.25","1,214.40","1,269.40","1,219.20",50.2,4.12
Whirlpool,"1,683.00","1,603.00","1,646.00","1,580.95",65.05,4.11
Chambal Fert,425.95,402.60,418.15,402.20,15.95,3.97
Nilkamal,"2,248.00","2,170.10","2,234.10","2,148.85",85.25,3.97
Polyplex Corp,"2,189.00","2,095.50","2,155.80","2,073.70",82.1,3.96
SBI Life Insura,"1,140.00","1,088.10","1,128.55","1,085.75",42.8,3.94
Bajaj Electric,"1,066.00","1,025.00","1,062.30","1,022.70",39.6,3.87
Apollo Tyres,194.90,189.05,193.75,186.55,7.2,3.86
Vakrangee,33.00,31.65,32.70,31.50,1.2,3.81
CSB Bank,224.00,214.50,221.35,213.35,8,3.75
Aarti Ind,898.55,868.50,891.60,859.45,32.15,3.74
Ingersoll Rand,"1,561.50","1,469.00","1,522.30","1,467.85",54.45,3.71
Adani Green Ene,"1,950.00","1,825.70","1,901.20","1,833.65",67.55,3.68
Adani Trans,"2,420.65","2,317.00","2,389.80","2,305.40",84.4,3.66
Bosch,"14,698.00","14,220.85","14,585.75","14,081.60",504.15,3.58
Balkrishna Ind,"2,145.05","2,071.40","2,132.50","2,059.10",73.4,3.56
Syngene Intl,594.85,572.70,592.30,572.15,20.15,3.52
Adani Enterpris,"1,823.60","1,760.00","1,819.65","1,758.00",61.65,3.51
IWML,"1,586.45","1,493.75","1,554.05","1,501.35",52.7,3.51
JM Financial,68.10,65.90,67.80,65.50,2.3,3.51
