company_name,high,low,last_price,prev_close,change,percent_gain
Greaves Cotton,209.90,174.70,209.40,174.95,34.45,19.69
Alok Industries,30.70,26.45,29.80,26.55,3.25,12.24
Sunteck Realty,579.20,515.25,569.75,510.80,58.95,11.54
Elgi Equipments,373.00,328.75,362.20,327.45,34.75,10.61
Himadri Special,52.10,47.40,50.80,47.15,3.65,7.74
KNR Construct,318.00,293.65,315.55,292.95,22.6,7.71
Schneider Infra,119.40,111.00,118.15,110.40,7.75,7.02
Intellect Desig,774.00,714.85,755.40,711.90,43.5,6.11
GMR Infra,49.05,45.40,48.45,45.80,2.65,5.79
IDFC,64.70,60.75,64.20,60.95,3.25,5.33
SJVN,32.40,30.65,31.80,30.20,1.6,5.3
BHEL,62.90,59.70,62.65,59.50,3.15,5.29
Aarti Ind,"1,088.30","1,027.05","1,085.15","1,030.95",54.2,5.26
Bank of Baroda,92.45,87.70,92.15,87.60,4.55,5.19
Garware Technic,"3,358.00","3,106.65","3,314.35","3,157.05",157.3,4.98
IRB Infra,247.40,236.40,247.30,235.65,11.65,4.94
Equitas Holding,121.50,115.50,120.35,114.70,5.65,4.93
PVR,"1,445.00","1,350.00","1,433.65","1,366.90",66.75,4.88
KPIT Tech,801.00,720.10,745.55,711.25,34.3,4.82
NCC,75.00,70.15,73.95,70.60,3.35,4.75
City Union Bank,146.90,139.65,146.00,139.40,6.6,4.73
Suzlon Energy,11.15,11.15,11.15,10.65,0.5,4.69
KEC Intl,485.50,470.10,483.05,461.55,21.5,4.66
Federal Bank,95.90,91.60,95.55,91.35,4.2,4.6
Redington,173.00,163.30,170.55,163.25,7.3,4.47
Indian Hotels,196.50,184.00,194.65,186.35,8.3,4.45
Infibeam Avenue,41.90,39.90,41.55,39.80,1.75,4.4
RBL Bank,142.00,135.80,141.00,135.10,5.9,4.37
India Cements,253.70,236.15,250.10,239.85,10.25,4.27
RHI Magnesita,397.00,372.35,385.80,370.00,15.8,4.27
UPL,825.00,791.70,821.60,788.95,32.65,4.14
IIFL Finance,305.90,294.65,303.90,292.05,11.85,4.06
Aurobindo Pharm,740.00,712.00,737.30,710.00,27.3,3.85
Asahi India,567.90,543.60,552.30,532.05,20.25,3.81
Valiant Organic,"1,294.70","1,232.30","1,286.35","1,239.80",46.55,3.75
Tata Inv Corp,"1,472.80","1,422.40","1,464.20","1,411.40",52.8,3.74
PNB,40.75,38.90,40.35,38.90,1.45,3.73
CenturyPlyboard,653.00,625.55,644.85,622.50,22.35,3.59
Phillips Carbon,247.25,237.60,245.10,236.70,8.4,3.55
Angel One,"1,282.50","1,235.00","1,274.80","1,231.60",43.2,3.51
Canara Bank,220.80,213.30,219.70,212.30,7.4,3.49
EIH,133.50,126.10,132.40,127.95,4.45,3.48
TML-D,257.70,246.10,256.60,248.15,8.45,3.41
Chalet Hotels,232.00,221.90,230.25,222.75,7.5,3.37
JB Chemicals,"1,715.80","1,652.75","1,706.35","1,650.65",55.7,3.37
Tata Elxsi,"6,020.00","5,800.00","5,992.95","5,799.55",193.4,3.33
Titan Company,"2,663.55","2,571.00","2,657.50","2,572.70",84.8,3.3
Central Bank,22.60,21.55,22.25,21.55,0.7,3.25
Dalmia Bharat,"1,999.00","1,935.65","1,994.10","1,931.35",62.75,3.25
Oberoi Realty,950.00,925.30,940.60,910.95,29.65,3.25
JSW Energy,318.00,306.50,317.40,307.45,9.95,3.24
HDFC AMC,"2,530.00","2,445.00","2,518.25","2,440.75",77.5,3.18
Hindustan Aeron,"1,300.00","1,256.65","1,296.25","1,256.60",39.65,3.16
Hero Motocorp,"2,584.00","2,489.30","2,578.10","2,499.10",79,3.16
IOB,21.95,20.65,21.25,20.60,0.65,3.16
Adani Enterpris,"1,766.00","1,699.10","1,752.60","1,699.10",53.5,3.15
Brigade Ent,457.75,441.70,455.00,441.30,13.7,3.1
Guj Amb Exports,176.00,170.00,174.45,169.20,5.25,3.1
IDBI Bank,52.70,49.80,51.80,50.25,1.55,3.08
Indian Bank,149.30,144.70,148.50,144.15,4.35,3.02
SUMITOMO,396.60,383.05,394.35,383.10,11.25,2.94
Indiabulls Real,171.80,166.35,170.90,166.15,4.75,2.86
Suven Pharma,497.00,475.20,493.75,480.00,13.75,2.86
Venkys,"2,653.50","2,549.40","2,617.55","2,546.20",71.35,2.8
Maruti Suzuki,"8,232.00","7,924.15","8,125.60","7,906.00",219.6,2.78
eClerx Services,"2,868.95","2,755.00","2,783.25","2,708.35",74.9,2.77
REC,140.50,136.65,140.10,136.40,3.7,2.71
Indiabulls Hsg,228.65,220.50,226.30,220.35,5.95,2.7
Heidelberg Cem,243.80,234.60,243.20,236.85,6.35,2.68
Tata Motors,504.90,491.30,503.70,490.60,13.1,2.67
GSFC,127.85,123.60,125.70,122.50,3.2,2.61
KEI Industries,"1,148.30","1,092.25","1,141.15","1,112.15",29,2.61
Bharat Forge,769.00,749.10,767.50,748.30,19.2,2.57
Larsen,"1,959.95","1,907.25","1,953.10","1,904.90",48.2,2.53
SBI,504.95,492.50,503.65,491.25,12.4,2.52
Bata India,"1,927.00","1,869.00","1,916.40","1,869.50",46.9,2.51
General Insuran,144.60,139.90,143.40,139.90,3.5,2.5
Interglobe Avi,"2,066.85","1,977.00","2,055.10","2,005.45",49.65,2.48
Atul,"9,569.05","9,251.25","9,534.35","9,304.95",229.4,2.47
JM Financial,76.50,72.75,74.65,72.85,1.8,2.47
Adani Trans,"1,834.00","1,742.10","1,819.70","1,776.00",43.7,2.46
Deepak Nitrite,"2,605.10","2,535.00","2,595.70","2,533.40",62.3,2.46
Lupin,941.75,916.05,938.30,916.05,22.25,2.43
ABB India,"2,296.70","2,223.00","2,280.90","2,227.10",53.8,2.42
HDFC,"2,665.05","2,601.90","2,659.65","2,596.70",62.95,2.42
Can Fin Homes,601.80,586.00,597.45,583.50,13.95,2.39
Coal India,161.00,157.05,160.70,156.95,3.75,2.39
Nippon,365.00,355.45,362.15,353.80,8.35,2.36
Zee Entertain,330.50,320.55,328.30,320.80,7.5,2.34
Route,"1,833.00","1,778.35","1,813.25","1,772.15",41.1,2.32
Grasim,"1,845.00","1,793.60","1,838.85","1,797.65",41.2,2.29
Kotak Mahindra,"1,955.30","1,901.35","1,947.95","1,904.25",43.7,2.29
Chambal Fert,434.65,424.70,432.80,423.15,9.65,2.28
Rashtriya Chem,79.85,77.55,79.15,77.40,1.75,2.26
INOX Leisure,371.00,360.65,368.75,360.65,8.1,2.25
ITC,224.70,218.90,223.30,218.40,4.9,2.24
Vardhman Text,"2,655.00","2,571.00","2,621.50","2,563.95",57.55,2.24
GAIL,143.00,139.95,142.65,139.55,3.1,2.22
ICICI Bank,812.80,799.00,810.75,793.25,17.5,2.21
