company_name,high,low,last_price,prev_close,change,percent_gain
TCI Express,"2,384.00","1,811.55","2,345.35","2,115.55",229.8,10.86
Vardhman Text,"2,330.00","2,135.00","2,264.60","2,093.05",171.55,8.2
La Opala RG,426.80,395.25,421.05,391.75,29.3,7.48
Amber Enterpris,"3,495.00","3,275.65","3,468.65","3,245.50",223.15,6.88
Indiabulls Real,159.50,151.20,157.80,147.80,10,6.77
Oil India,187.40,172.40,183.20,172.40,10.8,6.26
Responsive Ind,118.00,101.00,107.40,101.10,6.3,6.23
INDUS TOWERS,254.20,239.20,252.55,237.80,14.75,6.2
CenturyPlyboard,593.90,553.50,581.90,549.40,32.5,5.92
Alok Industries,24.20,22.70,23.60,22.30,1.3,5.83
Metropolis,"3,337.90","3,129.95","3,308.10","3,126.00",182.1,5.83
Minda Ind,"1,122.95","1,042.05","1,107.05","1,047.55",59.5,5.68
AAVAS Financier,"2,585.00","2,403.70","2,557.60","2,424.35",133.25,5.5
TCNS Clothing C,817.00,756.15,801.70,760.30,41.4,5.45
KPIT Tech,484.50,464.20,481.50,456.75,24.75,5.42
"NALCO",100.35,94.70,98.45,93.40,5.05,5.41
VIP Industries,574.80,538.00,559.05,530.75,28.3,5.33
NHPC,31.35,29.65,30.95,29.40,1.55,5.27
Dixon Technolog,"5,531.15","5,250.05","5,501.45","5,227.00",274.45,5.25
Karur Vysya,45.55,43.85,45.20,42.95,2.25,5.24
Jindal (Hisar),319.90,303.80,318.45,302.85,15.6,5.15
Angel One,"1,204.00","1,131.25","1,178.75","1,121.25",57.5,5.13
Godrej Consumer,948.00,898.10,936.90,891.25,45.65,5.12
Network 18,87.60,84.50,87.60,83.45,4.15,4.97
Suzlon Energy,7.45,7.30,7.45,7.10,0.35,4.93
Zee Entertain,356.15,329.00,347.80,331.50,16.3,4.92
Welspun Corp,163.70,155.65,161.25,153.80,7.45,4.84
Aditya Birla F,277.00,259.45,270.70,258.25,12.45,4.82
Tanla Platforms,"1,831.85","1,691.00","1,828.50","1,744.65",83.85,4.81
Brigade Ent,454.90,434.75,450.75,430.10,20.65,4.8
MOIL,177.20,168.85,175.90,167.95,7.95,4.73
SRF,"2,190.85","2,082.35","2,172.85","2,074.65",98.2,4.73
Godrej Ind,622.90,595.00,618.50,590.70,27.8,4.71
Finolex Ind,209.75,199.40,208.60,199.30,9.3,4.67
Adani Trans,"1,779.95","1,696.00","1,769.60","1,695.20",74.4,4.39
Minda Corp,169.35,158.05,164.05,157.15,6.9,4.39
Swan Energy,145.25,138.05,144.20,138.15,6.05,4.38
J. K. Cement,"3,470.00","3,302.40","3,453.90","3,309.40",144.5,4.37
Shilpa,562.15,530.05,552.15,529.05,23.1,4.37
Timken,"1,892.00","1,821.25","1,882.35","1,805.35",77,4.27
Dishman Carboge,198.60,190.00,196.70,188.70,8,4.24
Vedanta,340.40,326.10,336.85,323.20,13.65,4.22
Deepak Nitrite,"2,299.00","2,190.00","2,277.25","2,186.45",90.8,4.15
COFORGE LTD.,"5,430.00","5,212.40","5,396.90","5,181.95",214.95,4.15
Piramal Enter,"2,569.00","2,456.00","2,554.65","2,453.05",101.6,4.14
Varroc Engineer,314.65,302.05,312.30,300.00,12.3,4.1
CESC,85.10,82.15,84.50,81.20,3.3,4.06
Bosch,"16,490.00","15,639.50","16,287.35","15,654.05",633.3,4.05
IDFC,49.40,47.25,49.00,47.15,1.85,3.92
Just Dial,806.75,770.10,790.55,760.80,29.75,3.91
SAIL,111.90,107.35,110.65,106.50,4.15,3.9
HCL Tech,"1,214.95","1,165.05","1,205.00","1,159.90",45.1,3.89
Lemon Tree Hote,46.55,43.50,45.65,43.95,1.7,3.87
Jindal Steel,382.15,366.15,378.05,364.15,13.9,3.82
Havells India,"1,352.00","1,294.05","1,338.70","1,289.65",49.05,3.8
KPR Mill,615.70,588.15,607.10,585.05,22.05,3.77
Schaeffler Ind,"8,240.00","7,911.30","8,197.00","7,900.10",296.9,3.76
ABB India,"2,220.00","2,100.10","2,201.00","2,121.65",79.35,3.74
Wipro,697.10,671.00,690.80,665.95,24.85,3.73
AU Small Financ,"1,063.25",996.30,"1,036.60",999.50,37.1,3.71
APL Apollo,"1,074.90","1,026.55","1,054.85","1,017.15",37.7,3.71
Fortis Health,282.00,271.25,277.95,268.10,9.85,3.67
GMM Pfaudler,"4,548.00","4,347.00","4,506.30","4,346.90",159.4,3.67
Infibeam Avenue,40.35,38.85,40.00,38.60,1.4,3.63
UPL,737.60,712.65,733.65,708.30,25.35,3.58
L&T Infotech,"7,032.30","6,740.00","6,976.45","6,736.05",240.4,3.57
Prism Johnson,127.90,121.60,126.30,121.95,4.35,3.57
Tata Comm,"1,363.85","1,307.35","1,356.40","1,310.75",45.65,3.48
Spandana Sphoor,436.00,417.20,428.00,413.65,14.35,3.47
L&T Finance,78.40,74.75,77.10,74.55,2.55,3.42
Adani Ports,728.00,701.70,725.60,701.70,23.9,3.41
MMTC Ltd,43.20,40.70,41.60,40.25,1.35,3.35
Max Financial,970.00,924.00,965.35,934.30,31.05,3.32
L&T Technology,"5,259.80","5,079.00","5,213.95","5,049.45",164.5,3.26
Shoppers Stop,351.00,337.00,346.10,335.20,10.9,3.25
JSW Energy,294.60,279.05,292.65,283.55,9.1,3.21
Ambuja Cements,363.80,351.25,361.45,350.30,11.15,3.18
Cera Sanitary,"4,915.00","4,676.00","4,897.20","4,746.70",150.5,3.17
Tube Investment,"1,635.00","1,558.05","1,622.55","1,572.85",49.7,3.16
Sobha,844.70,808.50,832.75,807.50,25.25,3.13
Supreme Petro,713.00,668.35,695.35,674.45,20.9,3.1
ICICI Prudentia,563.20,542.00,558.20,541.45,16.75,3.09
Greaves Cotton,140.00,133.50,136.50,132.45,4.05,3.06
Apollo Hospital,"4,870.00","4,695.05","4,847.60","4,704.95",142.65,3.03
United Spirits,902.35,863.30,888.85,862.75,26.1,3.03
Tata Steel,"1,124.25","1,085.00","1,105.10","1,072.95",32.15,3
DCM Shriram,"1,007.00",961.00,998.75,970.05,28.7,2.96
Mindtree,"4,485.00","4,340.10","4,432.15","4,304.70",127.45,2.96
Narayana Hruda,577.70,554.70,573.45,557.10,16.35,2.93
Asahi India,495.90,473.20,486.70,473.05,13.65,2.89
Guj Amb Exports,157.55,152.80,156.00,151.65,4.35,2.87
TTK Prestige,990.00,960.00,979.00,951.75,27.25,2.86
Whirlpool,"1,813.80","1,756.00","1,794.90","1,745.05",49.85,2.86
Hindalco,449.70,437.35,445.45,433.10,12.35,2.85
Coal India,146.00,141.40,144.65,140.70,3.95,2.81
Indoco Remedies,414.55,406.15,411.10,399.95,11.15,2.79
Fine Organics,"3,780.00","3,625.70","3,748.40","3,647.15",101.25,2.78
Guj Alkali,636.00,617.00,628.50,611.80,16.7,2.73
Navin Fluorine,"3,987.50","3,839.80","3,956.25","3,852.00",104.25,2.71
Coromandel Int,738.90,719.35,736.85,717.55,19.3,2.69
Hind Copper,117.60,113.25,115.25,112.25,3,2.67
Tata Coffee,204.05,196.00,199.65,194.55,5.1,2.62
Jamna Auto,103.90,99.55,102.40,99.80,2.6,2.61
SBI Card,894.20,871.45,891.15,868.50,22.65,2.61
Garden Reach Sh,218.50,207.25,215.25,209.80,5.45,2.6
IRCTC,818.85,800.00,814.75,794.10,20.65,2.6
Bank of India,51.60,50.00,50.80,49.55,1.25,2.52
Gujarat Gas,635.50,612.15,626.80,611.60,15.2,2.49
IEX,249.25,242.10,244.55,238.60,5.95,2.49
Chola Invest.,518.60,490.15,505.00,492.80,12.2,2.48
CRISIL,"2,990.00","2,913.00","2,977.20","2,905.10",72.1,2.48
JSW Steel,666.00,645.40,658.30,642.60,15.7,2.44
Elgi Equipments,289.00,272.00,278.45,271.85,6.6,2.43
GAIL,129.55,125.75,129.00,125.95,3.05,2.42
Max Healthcare,410.00,392.40,397.15,387.75,9.4,2.42
IGL,494.90,482.70,493.50,481.90,11.6,2.41
Intellect Desig,669.00,655.20,666.65,651.05,15.6,2.4
Zensar Tech,475.25,453.00,460.50,449.85,10.65,2.37
GlaxoSmithKline,"1,796.90","1,740.00","1,768.45","1,727.45",41,2.37
Dalmia Bharat,"1,904.00","1,800.60","1,842.70","1,800.60",42.1,2.34
INOX Leisure,418.00,371.20,381.55,372.85,8.7,2.33
UltraTechCement,"7,375.00","7,180.10","7,327.35","7,160.85",166.5,2.33
EPL,205.00,200.25,204.15,199.60,4.55,2.28
Thermax,"1,697.00","1,630.95","1,682.10","1,644.60",37.5,2.28
JK Tyre & Ind,136.95,131.70,135.20,132.25,2.95,2.23
Cadila Health,457.45,446.00,455.10,445.20,9.9,2.22
Oberoi Realty,831.95,801.10,818.45,800.70,17.75,2.22
Birla Corp,"1,402.65","1,350.00","1,378.05","1,348.30",29.75,2.21
Vodafone Idea,14.80,13.80,13.95,13.65,0.3,2.2
Delta Corp,269.85,256.10,261.60,256.00,5.6,2.19
Bharat Elec,201.45,195.40,199.50,195.25,4.25,2.18
Ramco Cements,975.65,950.55,971.15,950.40,20.75,2.18
Tech Mahindra,"1,655.30","1,605.50","1,632.95","1,598.05",34.9,2.18
Titan Company,"2,310.00","2,251.30","2,287.65","2,239.35",48.3,2.16
NMDC,134.80,125.00,133.30,130.50,2.8,2.15
Ashok Leyland,124.05,119.95,122.35,119.80,2.55,2.13
Amara Raja Batt,608.10,594.35,604.00,591.40,12.6,2.13
Nippon,331.35,321.00,327.45,320.65,6.8,2.12
GSFC,118.30,115.00,116.30,113.90,2.4,2.11
TML-D,232.10,222.30,225.60,220.95,4.65,2.1
RHI Magnesita,375.50,363.85,368.95,361.45,7.5,2.07
Dhani Services,152.40,145.40,147.05,144.10,2.95,2.05
Johnson Control,"2,065.00","2,010.00","2,051.75","2,010.75",41,2.04
Gujarat Fluoro,"2,249.00","2,130.00","2,184.50","2,140.90",43.6,2.04
PNB Housing Fin,514.55,480.00,500.05,490.05,10,2.04
Colgate,"1,448.60","1,413.70","1,444.60","1,415.80",28.8,2.03
Sonata,823.15,788.25,803.40,787.50,15.9,2.02
Kajaria Ceramic,"1,231.00","1,204.20","1,224.80","1,200.90",23.9,1.99
HFCL,77.35,74.50,75.40,73.95,1.45,1.96
Yes Bank,13.25,12.85,13.00,12.75,0.25,1.96
Adani Enterpris,"1,645.90","1,602.90","1,620.50","1,589.95",30.55,1.92
Aarti Ind,939.00,915.10,927.30,909.80,17.5,1.92
Ingersoll Rand,"1,182.95","1,151.00","1,170.15","1,148.15",22,1.92
Sun Pharma,783.95,764.05,778.55,763.95,14.6,1.91
Bajaj Consumer ,199.00,195.20,197.95,194.30,3.65,1.88
Strides Pharma ,431.00,411.00,418.20,410.55,7.65,1.86
SpiceJet,65.75,63.70,65.00,63.85,1.15,1.8
