company_name,high,low,last_price,prev_close,change,percent_gain
Sequent Scienti,135.50,114.95,131.25,114.70,16.55,14.43
Star Health,748.50,665.30,742.20,679.40,62.8,9.24
V-Mart Retail,"3,349.80","3,055.35","3,316.45","3,064.55",251.9,8.22
One 97 Paytm,631.50,552.00,619.35,575.50,43.85,7.62
Cochin Shipyard,349.90,330.00,343.10,323.80,19.3,5.96
JSW Energy,325.00,286.10,310.40,293.35,17.05,5.81
AIA Engineering,"1,960.00","1,774.80","1,892.95","1,791.05",101.9,5.69
MTAR Tech,"1,518.00","1,384.00","1,458.50","1,383.05",75.45,5.46
Mahindra Logist,507.90,461.30,473.65,449.20,24.45,5.44
Brightcom Group,58.95,56.15,58.95,56.15,2.8,4.99
Dhani Services,55.10,52.90,55.10,52.50,2.6,4.95
Easy Trip,455.70,428.50,455.35,434.00,21.35,4.92
Container Corp,613.80,580.00,600.15,573.40,26.75,4.67
Endurance Techn,"1,313.90","1,235.25","1,302.85","1,246.20",56.65,4.55
Indigo Paints,"1,746.00","1,634.45","1,691.75","1,620.05",71.7,4.43
Jyothy Labs,159.90,144.65,152.05,145.60,6.45,4.43
M&M,943.45,910.25,941.90,903.80,38.1,4.22
Ashok Leyland,140.40,135.40,135.80,130.35,5.45,4.18
Maruti Suzuki,"7,954.85","7,776.10","7,897.45","7,586.60",310.85,4.1
Home First,796.75,759.30,785.95,755.05,30.9,4.09
GNFC,677.40,625.00,661.85,635.90,25.95,4.08
Asahi India,454.70,427.80,445.15,427.80,17.35,4.06
Jamna Auto,120.50,115.00,118.20,113.75,4.45,3.91
Wockhardt,291.65,268.20,281.75,271.25,10.5,3.87
Kajaria Ceramic,"1,049.90",953.40,"1,047.05","1,008.85",38.2,3.79
Tanla Platforms,"1,262.15","1,157.35","1,216.75","1,172.35",44.4,3.79
AstraZeneca,"2,670.50","2,556.05","2,661.05","2,565.60",95.45,3.72
Indian Hotels,232.90,222.05,231.30,223.00,8.3,3.72
Shriram Trans,"1,147.90","1,100.00","1,136.65","1,096.00",40.65,3.71
Carborundum,745.00,711.10,739.10,712.85,26.25,3.68
Interglobe Avi,"1,733.40","1,670.10","1,725.20","1,664.20",61,3.67
Capri Global,679.00,611.35,655.00,633.65,21.35,3.37
Granules India,281.65,269.10,280.30,271.20,9.1,3.36
Gujarat Fluoro,"2,708.00","2,584.85","2,669.10","2,582.75",86.35,3.34
Hindustan Aeron,"1,850.00","1,760.00","1,815.80","1,757.20",58.6,3.33
Karur Vysya,47.45,44.80,45.90,44.50,1.4,3.15
CHEMPLAST SANMA,506.40,480.95,497.85,482.85,15,3.11
HLE Glascoat,"4,200.00","3,748.00","3,793.85","3,682.85",111,3.01
Jubilant Pharmo,424.70,410.00,419.80,408.00,11.8,2.89
Sundram,749.00,720.10,737.80,717.70,20.1,2.8
Bank of India,46.95,44.65,46.30,45.05,1.25,2.77
L&T Infotech,"4,170.10","4,010.85","4,147.15","4,043.50",103.65,2.56
Suprajit Eng,344.00,325.25,340.90,332.40,8.5,2.56
EPL,165.90,159.70,164.60,160.50,4.1,2.55
MphasiS,"2,536.95","2,452.50","2,520.10","2,459.05",61.05,2.48
Mindtree,"2,986.65","2,880.00","2,971.40","2,899.85",71.55,2.47
Bharat Forge,698.45,678.05,690.60,674.20,16.4,2.43
Dixon Technolog,"3,542.00","3,417.60","3,508.90","3,428.15",80.75,2.36
