company_name,high,low,last_price,prev_close,change,percent_gain
Tech Mahindra,"1,060.90","1,037.05","1,057.75","1,034.40",23.35,2.26
Tata Motors,356.65,337.50,352.75,345.50,7.25,2.1
Bharti Airtel,548.00,534.00,546.80,536.45,10.35,1.93
HCL Tech,972.00,951.45,967.20,949.60,17.6,1.85
IOC,117.50,113.35,116.70,114.70,2,1.74
Infosys,"1,421.75","1,395.55","1,412.95","1,389.65",23.3,1.68
Britannia,"3,622.00","3,542.60","3,601.75","3,542.60",59.15,1.67
Titan Company,"1,726.00","1,674.20","1,712.50","1,685.10",27.4,1.63
TATA Cons. Prod,715.40,701.60,710.45,699.95,10.5,1.5
Cipla,955.00,931.85,953.75,939.80,13.95,1.48
HDFC Life,692.00,681.00,689.70,680.10,9.6,1.41
BPCL,489.70,476.25,487.45,481.40,6.05,1.26
Dr Reddys Labs,"5,295.90","5,150.10","5,274.75","5,219.20",55.55,1.06
ITC,214.25,211.20,213.65,211.45,2.2,1.04
HUL,"2,362.00","2,335.15","2,359.00","2,339.30",19.7,0.84
Maruti Suzuki,"7,366.45","7,295.20","7,336.75","7,275.65",61.1,0.84
TCS,"3,231.00","3,187.20","3,200.15","3,183.20",16.95,0.53
M&M,810.00,797.50,807.85,803.85,4,0.5
Sun Pharma,679.95,665.10,678.75,675.35,3.4,0.5
Bajaj Auto,"4,275.00","4,234.00","4,269.90","4,249.75",20.15,0.47
Bajaj Finance,"5,817.00","5,720.15","5,755.40","5,729.75",25.65,0.45
Wipro,555.50,549.15,550.60,548.25,2.35,0.43
UPL,864.70,840.20,853.55,850.50,3.05,0.36
Eicher Motors,"2,779.00","2,745.00","2,763.80","2,754.45",9.35,0.34
Divis Labs,"4,259.10","4,201.80","4,241.20","4,229.95",11.25,0.27
Grasim,"1,516.05","1,490.20","1,503.15","1,501.00",2.15,0.14
Hero Motocorp,"3,078.00","3,040.35","3,055.95","3,052.25",3.7,0.12
