company_name,high,low,last_price,prev_close,change,percent_gain
UTI AMC,884.55,720.50,836.05,737.15,98.9,13.42
KSB Pumps,"1,129.65","1,000.55","1,097.10",999.00,98.1,9.82
Natco Pharma,897.00,760.20,869.50,795.80,73.7,9.26
GAIL,146.75,133.85,144.85,134.80,10.05,7.46
Hindalco,580.05,531.80,573.75,533.90,39.85,7.46
Amber Enterpris,"3,500.00","3,126.15","3,481.80","3,241.25",240.55,7.42
SKF India,"3,649.75","3,283.75","3,585.25","3,350.05",235.2,7.02
Future Retail,51.70,47.00,49.00,45.80,3.2,6.99
Dhani Services,81.10,71.65,78.60,73.75,4.85,6.58
Tata Steel,"1,225.00","1,129.20","1,220.75","1,145.35",75.4,6.58
Alembic,91.40,84.50,89.10,83.70,5.4,6.45
Jindal Steel,426.40,392.10,424.85,399.75,25.1,6.28
CRISIL,"2,974.70","2,653.60","2,878.15","2,713.00",165.15,6.09
Power Grid Corp,210.25,196.05,209.15,197.30,11.85,6.01
CAMS,"2,499.90","2,308.00","2,494.30","2,358.35",135.95,5.76
Hindustan Aeron,"1,393.15","1,285.15","1,387.75","1,314.60",73.15,5.56
CreditAccess Gr,757.00,697.25,749.95,712.15,37.8,5.31
Petronet LNG,216.65,202.15,215.30,204.55,10.75,5.26
SAIL,96.75,90.20,96.35,91.60,4.75,5.19
Bharat Elec,211.50,196.20,210.45,200.15,10.3,5.15
Future Consumer,7.50,7.05,7.20,6.85,0.35,5.11
JK Paper,225.75,210.15,224.20,213.35,10.85,5.09
DCM Shriram,"1,056.00",973.75,"1,047.10",996.75,50.35,5.05
Johnson Control,"1,844.15","1,694.45","1,815.75","1,729.30",86.45,5
Adani Trans,"2,134.45","1,990.00","2,134.40","2,032.85",101.55,5
Suprajit Eng,320.00,286.00,313.60,299.00,14.6,4.88
Vedanta,381.40,356.75,380.30,362.60,17.7,4.88
JSW Steel,629.80,590.20,627.45,598.60,28.85,4.82
Narayana Hruda,698.90,644.05,685.40,654.35,31.05,4.75
Valiant Organic,891.90,826.00,886.35,846.20,40.15,4.74
Suzlon Energy,9.45,8.65,9.40,9.00,0.4,4.44
NCC,63.00,57.70,62.30,59.75,2.55,4.27
TeamLease Ser.,"4,215.05","3,862.10","4,105.45","3,939.60",165.85,4.21
Gulf Oil Lubric,444.95,423.50,441.85,424.50,17.35,4.09
Sheela Foam,"3,456.45","3,238.10","3,423.75","3,289.25",134.5,4.09
Guj Amb Exports,195.75,182.45,193.70,186.10,7.6,4.08
HFCL,74.25,67.10,72.75,69.90,2.85,4.08
V-Guard Ind,200.00,188.00,195.10,187.50,7.6,4.05
Jamna Auto,103.30,95.20,101.65,97.70,3.95,4.04
Marico,518.00,485.80,514.70,494.85,19.85,4.01
BPCL,351.30,332.00,349.80,336.35,13.45,4
IDFC,58.30,54.30,57.90,55.70,2.2,3.95
Graphite India,473.80,435.00,466.95,449.35,17.6,3.92
Hitachi Energy,"3,333.00","3,137.25","3,303.45","3,180.65",122.8,3.86
Bharat Dynamics,453.70,410.20,448.15,431.85,16.3,3.77
Poly Medicure,805.00,760.80,798.40,769.50,28.9,3.76
Coal India,169.95,160.55,169.55,163.45,6.1,3.73
Guj State Petro,294.00,274.70,289.50,279.20,10.3,3.69
Mahanagar Gas,730.00,690.60,727.65,701.90,25.75,3.67
Apollo Hospital,"4,826.00","4,571.20","4,802.80","4,633.45",169.35,3.65
ICICI Securitie,673.90,633.15,665.95,642.50,23.45,3.65
Eris Life,688.00,650.10,675.55,651.90,23.65,3.63
Sundaram-Clayto,"3,925.00","3,739.55","3,905.85","3,769.35",136.5,3.62
Hind Copper,118.15,111.85,117.65,113.55,4.1,3.61
Karur Vysya,47.75,44.60,47.40,45.75,1.65,3.61
Tanla Platforms,"1,587.00","1,481.15","1,565.85","1,511.35",54.5,3.61
Avenue Supermar,"4,355.00","4,062.10","4,340.35","4,190.75",149.6,3.57
NLC India,62.40,59.10,62.30,60.15,2.15,3.57
Container Corp,601.15,570.10,599.20,578.60,20.6,3.56
Gujarat Fluoro,"2,615.60","2,382.30","2,579.75","2,491.05",88.7,3.56
Trent,"1,119.00","1,030.10","1,108.10","1,070.10",38,3.55
BHEL,50.15,47.00,49.85,48.15,1.7,3.53
KPR Mill,639.80,592.15,632.40,611.50,20.9,3.42
VST,"3,120.00","2,900.00","3,007.00","2,907.70",99.3,3.42
"NALCO",122.45,115.95,121.30,117.30,4,3.41
Dabur India,570.10,526.95,563.35,544.85,18.5,3.4
Reliance,"2,367.35","2,243.00","2,359.55","2,283.95",75.6,3.31
Sundram,874.00,805.15,852.10,825.20,26.9,3.26
Advanced Enzyme,324.95,301.35,319.85,309.80,10.05,3.24
TV18 Broadcast,62.85,57.05,61.35,59.45,1.9,3.2
GSFC,126.70,118.80,125.45,121.60,3.85,3.17
Titan Company,"2,563.65","2,430.00","2,546.55","2,468.45",78.1,3.16
Divis Labs,"4,284.40","4,078.70","4,265.00","4,138.35",126.65,3.06
Thermax,"1,823.00","1,716.55","1,812.65","1,759.15",53.5,3.04
Jindal (Hisar),356.00,325.55,353.20,342.85,10.35,3.02
MMTC Ltd,46.50,43.60,46.25,44.90,1.35,3.01
Balkrishna Ind,"1,829.50","1,743.00","1,822.55","1,769.70",52.85,2.99
Prestige Estate,457.45,430.50,453.70,440.55,13.15,2.98
Colgate,"1,454.90","1,398.00","1,450.40","1,409.75",40.65,2.88
Navin Fluorine,"3,950.00","3,715.00","3,890.95","3,785.55",105.4,2.78
Route,"1,505.00","1,405.25","1,487.05","1,446.90",40.15,2.77
Cera Sanitary,"4,374.00","4,065.05","4,324.40","4,210.05",114.35,2.72
Ratnamani Metal,"2,245.00","2,155.00","2,236.20","2,176.95",59.25,2.72
CG Consumer,430.75,411.05,428.50,417.35,11.15,2.67
TCNS Clothing C,675.00,610.00,643.10,626.45,16.65,2.66
Venkys,"2,025.00","1,902.30","1,999.15","1,947.55",51.6,2.65
Jyothy Labs,138.00,133.05,136.95,133.45,3.5,2.62
India Cements,202.90,189.15,202.15,197.00,5.15,2.61
Quess Corp,641.55,602.00,633.80,617.80,16,2.59
Sundaram Fin,"1,915.00","1,828.00","1,897.90","1,850.05",47.85,2.59
Mindtree,"3,895.00","3,678.50","3,881.20","3,783.90",97.3,2.57
Mah Seamless,516.95,489.20,509.70,496.95,12.75,2.57
La Opala RG,349.00,325.40,341.00,332.80,8.2,2.46
Chambal Fert,379.00,363.65,377.70,368.65,9.05,2.45
L&T Technology,"4,558.40","4,306.55","4,532.05","4,423.55",108.5,2.45
PVR,"1,642.50","1,576.05","1,635.75","1,596.65",39.1,2.45
Gujarat Pipavav,85.70,80.00,84.00,82.00,2,2.44
NTPC,133.95,128.80,133.50,130.35,3.15,2.42
IOC,116.20,110.60,115.00,112.35,2.65,2.36
Jindal Stainles,194.90,184.75,194.00,189.55,4.45,2.35
L&T Infotech,"5,867.00","5,590.00","5,849.80","5,715.30",134.5,2.35
Sobha,789.00,735.05,772.90,755.15,17.75,2.35
Infibeam Avenue,39.30,37.60,39.05,38.20,0.85,2.23
Larsen,"1,822.25","1,752.80","1,816.75","1,777.05",39.7,2.23
Torrent Power,477.00,457.05,475.20,464.85,10.35,2.23
PCBL,193.50,182.00,191.95,187.90,4.05,2.16
EngineersInd,61.90,59.60,61.65,60.35,1.3,2.15
HUDCO,33.95,32.10,33.75,33.05,0.7,2.12
