company_name,high,low,last_price,prev_close,change,percent_gain
SOLARA ACTIVE P,453.00,390.60,439.20,392.65,46.55,11.86
Jindal Stainles,132.90,120.20,130.05,121.05,9,7.43
Indiabulls Real,83.80,76.40,81.80,76.50,5.3,6.93
IRCTC,723.00,673.00,714.15,671.65,42.5,6.33
Bajaj Electric,"1,240.00","1,155.80","1,226.15","1,155.75",70.4,6.09
Prism Johnson,130.80,123.15,129.80,122.90,6.9,5.61
KRBL,297.60,271.00,288.50,273.55,14.95,5.47
India Cements,205.30,192.65,204.00,193.80,10.2,5.26
Dhani Services,51.45,50.55,51.45,49.00,2.45,5
Infibeam Avenue,16.50,15.20,15.80,15.05,0.75,4.98
Brightcom Group,42.20,41.50,42.20,40.20,2,4.98
Adani Enterpris,"3,186.00","3,004.00","3,153.65","3,008.65",145,4.82
RHI Magnesita,564.70,536.85,561.75,537.10,24.65,4.59
BHEL,56.55,53.30,56.20,53.75,2.45,4.56
Dalmia Bharat,"1,675.90","1,593.05","1,666.90","1,595.35",71.55,4.48
3M India,"23,300.00","22,200.00","23,257.40","22,380.95",876.45,3.92
Clean Science,"1,771.00","1,671.05","1,736.50","1,673.05",63.45,3.79
Hatsun Agro,"1,138.05","1,097.25","1,128.15","1,089.60",38.55,3.54
Kotak Mahindra,"1,912.00","1,832.00","1,904.50","1,839.70",64.8,3.52
Narayana Hruda,734.95,698.15,720.15,695.95,24.2,3.48
Laxmi Organic,348.00,331.00,345.15,333.85,11.3,3.38
Finolex Ind,147.45,142.15,146.35,141.60,4.75,3.35
Thermax,"2,229.70","2,142.00","2,216.20","2,144.60",71.6,3.34
United Brewerie,"1,706.45","1,637.85","1,702.30","1,647.90",54.4,3.3
Hemisphere,106.10,102.40,104.85,101.60,3.25,3.2
Godrej Consumer,920.00,892.60,918.30,890.20,28.1,3.16
Adani Green Ene,"2,343.70","2,201.00","2,296.35","2,227.05",69.3,3.11
Latent View,394.00,373.45,388.75,377.10,11.65,3.09
KPIT Tech,585.00,555.20,582.40,565.05,17.35,3.07
Birla Corp,"1,009.95",967.25,"1,004.60",974.90,29.7,3.05
KPR Mill,620.40,588.50,606.70,589.10,17.6,2.99
Ambuja Cements,414.50,396.50,409.60,398.30,11.3,2.84
Zomato,69.25,65.00,67.10,65.25,1.85,2.84
TCI Express,"1,755.00","1,700.90","1,744.95","1,696.90",48.05,2.83
Thyrocare Techn,656.55,629.95,651.80,633.90,17.9,2.82
Poly Medicure,760.00,731.65,752.20,731.90,20.3,2.77
Fert and Chem,127.60,116.90,121.40,118.15,3.25,2.75
AAVAS Financier,"2,277.25","2,181.55","2,260.45","2,200.45",60,2.73
Solar Ind,"3,402.30","3,292.10","3,386.40","3,298.90",87.5,2.65
MMTC Ltd,42.85,40.70,41.80,40.75,1.05,2.58
Sun Pharma Adv,238.50,231.50,235.10,229.20,5.9,2.57
Tata Inv Corp,"1,547.50","1,499.40","1,537.95","1,499.35",38.6,2.57
Phoenix Mills,"1,393.00","1,336.00","1,369.35","1,335.55",33.8,2.53
Apollo Tyres,267.35,257.65,266.50,260.00,6.5,2.5
Triveni Engg,231.90,224.00,230.60,225.00,5.6,2.49
Jubilant Food,626.80,609.00,620.15,605.85,14.3,2.36
DLF,389.95,379.20,389.15,380.35,8.8,2.31
Oberoi Realty,994.70,952.90,978.65,956.80,21.85,2.28
Guj Alkali,923.50,883.60,911.15,890.95,20.2,2.27
ICICI Prudentia,603.95,577.40,593.70,580.50,13.2,2.27
RBL Bank,104.10,100.20,103.10,100.90,2.2,2.18
Shree Renuka,45.95,44.70,45.75,44.80,0.95,2.12
Blue Star,"1,075.00","1,050.00","1,070.25","1,048.10",22.15,2.11
SUMITOMO,496.90,482.10,488.20,478.15,10.05,2.1
Larsen,"1,898.55","1,850.00","1,894.55","1,855.70",38.85,2.09
SpiceJet,49.40,46.10,47.55,46.60,0.95,2.04
Delta Corp,203.95,198.10,202.00,198.10,3.9,1.97
Bajaj Holdings,"5,700.00","5,454.85","5,531.00","5,431.65",99.35,1.83
TATA Cons. Prod,813.80,791.00,807.85,793.50,14.35,1.81
Dr Lal PathLab,"2,533.00","2,476.40","2,525.10","2,480.55",44.55,1.8
Jindal Steel,421.50,404.95,417.55,410.15,7.4,1.8
ACC,"2,334.80","2,275.20","2,322.85","2,283.15",39.7,1.74
Mahindra Logist,509.70,492.40,504.40,495.75,8.65,1.74
Tata Coffee,224.65,218.65,223.20,219.45,3.75,1.71
