company_name,high,low,last_price,prev_close,change,percent_gain
Wipro,563.30,525.60,561.70,524.85,36.85,7.02
Tech Mahindra,"1,080.00","1,048.00","1,078.50","1,050.15",28.35,2.7
HCL Tech,992.95,968.10,989.45,967.95,21.5,2.22
Infosys,"1,582.80","1,538.10","1,576.90","1,544.95",31.95,2.07
Larsen,"1,549.90","1,508.00","1,544.70","1,513.60",31.1,2.05
Tata Steel,"1,247.70","1,219.00","1,244.70","1,228.75",15.95,1.3
Shree Cements,"28,490.00","27,860.25","28,414.70","28,070.40",344.3,1.23
Cipla,978.40,961.10,977.15,965.65,11.5,1.19
ITC,205.15,201.70,204.10,201.85,2.25,1.11
TCS,"3,222.00","3,185.00","3,214.55","3,187.55",27,0.85
NTPC,120.95,119.80,120.75,119.90,0.85,0.71
M&M,787.00,777.05,786.15,781.15,5,0.64
Bajaj Finserv,"13,033.00","12,851.50","12,991.20","12,909.40",81.8,0.63
Power Grid Corp,231.45,228.45,229.95,228.65,1.3,0.57
SBI,432.30,426.40,431.05,429.10,1.95,0.45
Sun Pharma,692.40,681.00,685.95,683.00,2.95,0.43
Divis Labs,"4,661.65","4,585.15","4,623.20","4,606.05",17.15,0.37
ONGC,121.75,120.10,120.80,120.40,0.4,0.33
Asian Paints,"3,007.75","2,984.20","3,001.95","2,993.85",8.1,0.27
Kotak Mahindra,"1,757.95","1,735.60","1,748.15","1,747.15",1,0.06
Coal India,149.40,147.25,148.15,148.10,0.05,0.03
Britannia,"3,488.15","3,454.15","3,485.75","3,485.50",0.25,0.01
