company_name,high,low,last_price,prev_close,change,percent_gain
Adani Green Ene,"2,263.65","1,910.80","2,207.35","1,921.00",286.35,14.91
V-Mart Retail,"2,845.00","2,535.00","2,789.15","2,518.85",270.3,10.73
PCBL,116.95,104.95,114.95,105.25,9.7,9.22
Sudarshan Chem,468.60,427.40,463.65,427.65,36,8.42
Blue Star,973.90,880.25,959.80,886.65,73.15,8.25
HFCL,64.40,57.25,62.55,57.90,4.65,8.03
Anupam Rasayan,689.00,618.45,670.10,621.90,48.2,7.75
Infibeam Avenue,14.40,13.05,14.15,13.15,1,7.6
JSW Energy,232.00,210.85,227.20,212.25,14.95,7.04
Adani Total Gas,"2,775.00","2,502.15","2,716.65","2,540.80",175.85,6.92
KRBL,241.00,221.45,236.50,222.20,14.3,6.44
Granules India,299.00,277.50,297.05,279.25,17.8,6.37
GMM Pfaudler,"1,489.55","1,419.65","1,469.45","1,386.42",83.03,5.99
Hitachi Energy,"3,513.00","3,275.00","3,470.00","3,274.45",195.55,5.97
NOCIL,274.75,256.55,272.50,257.50,15,5.83
Adani Trans,"2,753.15","2,531.30","2,690.95","2,545.90",145.05,5.7
Shipping Corp,106.30,97.60,103.45,98.15,5.3,5.4
Gujarat Fluoro,"3,200.00","2,925.00","3,106.50","2,948.50",158,5.36
SUMITOMO,504.55,471.40,495.20,471.40,23.8,5.05
Ceat,"1,189.00","1,105.75","1,176.45","1,120.80",55.65,4.97
Indian Bank,168.65,158.55,168.15,160.30,7.85,4.9
Brightcom Group,43.90,41.85,43.90,41.85,2.05,4.9
Hinduja Global,"1,251.95","1,167.80","1,245.95","1,189.20",56.75,4.77
Karur Vysya,48.15,45.25,47.65,45.55,2.1,4.61
Shyam Metalics,304.85,280.00,297.45,284.40,13.05,4.59
Intellect Desig,700.35,660.05,697.85,667.50,30.35,4.55
Exide Ind,152.50,143.80,151.70,145.15,6.55,4.51
EPL,175.00,164.55,172.20,165.00,7.2,4.36
Indiabulls Real,65.35,61.50,65.00,62.30,2.7,4.33
Nippon,301.50,287.95,299.95,287.55,12.4,4.31
Aarti Drugs,420.20,400.85,418.50,401.40,17.1,4.26
Advanced Enzyme,286.00,267.55,279.40,268.45,10.95,4.08
JM Financial,67.00,60.90,64.05,61.55,2.5,4.06
Hatsun Agro,955.45,903.80,937.70,901.35,36.35,4.03
Elgi Equipments,375.65,356.80,372.85,358.55,14.3,3.99
Eicher Motors,"3,053.05","2,907.90","3,046.85","2,931.60",115.25,3.93
Atul,"8,539.90","8,182.65","8,511.85","8,196.70",315.15,3.84
RBL Bank,87.20,82.50,86.85,83.70,3.15,3.76
Bank of Baroda,109.95,104.40,109.55,105.60,3.95,3.74
Phoenix Mills,"1,275.90","1,220.35","1,263.95","1,219.20",44.75,3.67
Indiabulls Hsg,98.20,93.70,97.65,94.20,3.45,3.66
NCC,58.95,55.95,58.50,56.45,2.05,3.63
Vodafone Idea,8.95,8.35,8.70,8.40,0.3,3.57
Guj Amb Exports,314.50,301.00,312.25,301.55,10.7,3.55
Deepak Nitrite,"1,848.80","1,764.00","1,834.40","1,771.95",62.45,3.52
Adani Enterpris,"2,384.60","2,291.05","2,373.25","2,293.05",80.2,3.5
IDBI Bank,33.30,31.30,32.70,31.60,1.1,3.48
Aditya Birla F,263.00,251.35,261.85,253.40,8.45,3.33
Star Health,554.70,526.00,552.45,534.70,17.75,3.32
ONGC,125.90,121.05,125.50,121.50,4,3.29
Radico Khaitan,917.90,885.85,914.60,885.55,29.05,3.28
Aster DM Health,193.35,185.75,191.70,185.65,6.05,3.26
Fine Organics,"5,353.60","5,122.75","5,319.20","5,151.30",167.9,3.26
Borosil Renew,646.70,615.20,642.40,622.50,19.9,3.2
Avanti Feeds,451.75,429.35,446.90,433.10,13.8,3.19
Hind Zinc,271.90,263.05,271.40,263.05,8.35,3.17
Triveni Engg,252.90,241.05,251.40,243.80,7.6,3.12
Piramal Enter,"1,767.00","1,703.20","1,761.70","1,709.70",52,3.04
Tata Steel,929.00,875.05,912.75,885.90,26.85,3.03
Carborundum,807.00,787.00,799.25,776.25,23,2.96
City Union Bank,150.00,143.60,149.10,144.85,4.25,2.93
Varroc Engineer,323.00,310.30,321.40,312.35,9.05,2.9
Rashtriya Chem,84.10,80.45,83.60,81.25,2.35,2.89
IOB,18.95,17.20,17.85,17.35,0.5,2.88
Laxmi Organic,293.70,282.10,291.30,283.15,8.15,2.88
Shree Renuka,49.45,47.00,49.00,47.65,1.35,2.83
Allcargo,293.00,279.25,288.45,280.55,7.9,2.82
Praj Industries,399.50,375.95,394.50,383.80,10.7,2.79
Canara Bank,217.55,209.05,216.95,211.10,5.85,2.77
M&M,"1,167.90","1,122.65","1,165.05","1,133.60",31.45,2.77
Lakshmi Machine,"9,588.00","9,258.60","9,537.05","9,283.65",253.4,2.73
Yes Bank,13.35,12.70,13.15,12.80,0.35,2.73
