company_name,high,low,last_price,prev_close,change,percent_gain
Tata Steel,774.90,725.20,766.85,723.15,43.7,6.04
Bajaj Finserv,"9,507.00","9,140.00","9,467.45","9,057.55",409.9,4.53
Asian Paints,"2,513.95","2,409.10","2,505.15","2,402.20",102.95,4.29
Hindalco,328.50,318.10,327.15,314.00,13.15,4.19
Tata Motors,301.40,290.50,296.40,285.55,10.85,3.8
Titan Company,"1,512.40","1,457.00","1,505.85","1,450.85",55,3.79
HUL,"2,325.00","2,248.80","2,317.90","2,237.05",80.85,3.61
GAIL,132.80,128.65,131.80,128.00,3.8,2.97
Bharti Airtel,524.90,510.60,522.50,507.75,14.75,2.9
Bajaj Auto,"3,619.25","3,517.10","3,600.05","3,501.60",98.45,2.81
HDFC,"2,548.00","2,491.20","2,532.75","2,470.75",62,2.51
Nestle,"16,618.45","16,254.00","16,571.75","16,170.10",401.65,2.48
Grasim,"1,411.45","1,379.00","1,405.60","1,372.75",32.85,2.39
Tech Mahindra,997.80,977.00,991.00,968.70,22.3,2.3
Adani Ports,710.70,692.60,703.05,688.25,14.8,2.15
Sun Pharma,590.30,574.60,587.20,575.75,11.45,1.99
Larsen,"1,408.00","1,382.00","1,398.30","1,371.10",27.2,1.98
Shree Cements,"28,319.95","27,673.05","28,116.20","27,580.35",535.85,1.94
HDFC Bank,"1,499.00","1,474.00","1,491.30","1,463.35",27.95,1.91
Britannia,"3,515.00","3,455.35","3,504.60","3,443.85",60.75,1.76
JSW Steel,452.25,436.20,445.20,438.00,7.2,1.64
BPCL,431.80,421.40,424.20,418.95,5.25,1.25
ICICI Bank,584.50,574.30,578.55,571.55,7,1.22
Bajaj Finance,"5,248.00","5,135.00","5,183.05","5,122.20",60.85,1.19
Coal India,130.40,128.70,129.60,128.10,1.5,1.17
NTPC,105.75,103.70,104.20,103.00,1.2,1.17
SBI Life Insura,876.90,868.10,873.95,864.10,9.85,1.14
Wipro,407.70,400.65,403.90,399.65,4.25,1.06
UltraTechCement,"6,785.00","6,686.45","6,735.25","6,666.50",68.75,1.03
M&M,814.65,792.15,799.35,791.70,7.65,0.97
HDFC Life,676.80,666.55,671.70,667.00,4.7,0.7
Dr Reddys Labs,"4,423.00","4,347.70","4,406.00","4,380.55",25.45,0.58
SBI,362.00,354.55,357.20,355.20,2,0.56
Axis Bank,707.00,693.15,698.20,694.60,3.6,0.52
Kotak Mahindra,"1,792.40","1,762.75","1,771.05","1,762.90",8.15,0.46
Divis Labs,"3,509.95","3,411.80","3,464.95","3,450.20",14.75,0.43
ONGC,104.00,100.25,102.40,102.00,0.4,0.39
Infosys,"1,356.70","1,332.00","1,336.20","1,333.80",2.4,0.18
HCL Tech,975.00,953.80,958.55,957.05,1.5,0.16
Reliance,"2,013.70","1,973.70","1,994.65","1,991.45",3.2,0.16
TCS,"3,118.00","3,043.05","3,066.80","3,064.85",1.95,0.06
Cipla,799.00,781.25,787.45,787.25,0.2,0.03
