company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finance,"7,386.35","7,120.00","7,361.50","7,103.15",258.35,3.64
Maruti Suzuki,"7,497.85","7,151.10","7,434.90","7,186.60",248.3,3.46
Hindalco,458.45,440.10,457.45,442.50,14.95,3.38
SBI,492.40,480.25,491.55,476.70,14.85,3.12
Bajaj Finserv,"17,674.25","17,166.00","17,621.65","17,109.00",512.65,3
Britannia,"3,582.45","3,483.00","3,575.75","3,474.20",101.55,2.92
Asian Paints,"3,123.00","3,031.00","3,108.50","3,030.35",78.15,2.58
ICICI Bank,758.80,744.10,753.40,734.65,18.75,2.55
Tata Motors,495.95,483.50,493.90,481.80,12.1,2.51
Infosys,"1,759.80","1,732.60","1,753.35","1,711.65",41.7,2.44
Bharti Airtel,719.00,702.30,715.15,698.85,16.3,2.33
Adani Ports,764.40,748.20,761.40,744.70,16.7,2.24
Tata Steel,"1,177.00","1,149.00","1,173.00","1,148.80",24.2,2.11
IndusInd Bank,949.00,932.50,945.30,926.65,18.65,2.01
ITC,225.65,221.00,224.95,220.65,4.3,1.95
HCL Tech,"1,181.60","1,157.05","1,171.60","1,149.65",21.95,1.91
JSW Steel,676.00,660.15,672.95,660.65,12.3,1.86
Sun Pharma,763.50,747.35,757.55,743.70,13.85,1.86
HDFC Bank,"1,555.05","1,534.00","1,553.80","1,525.70",28.1,1.84
Grasim,"1,742.00","1,694.00","1,716.25","1,685.55",30.7,1.82
M&M,843.70,826.95,840.75,825.95,14.8,1.79
Tech Mahindra,"1,614.80","1,582.05","1,604.80","1,576.65",28.15,1.79
ONGC,150.35,146.80,148.40,145.90,2.5,1.71
UltraTechCement,"7,458.75","7,300.00","7,423.95","7,299.40",124.55,1.71
Shree Cements,"26,279.55","25,850.00","26,152.85","25,746.55",406.3,1.58
NTPC,127.65,124.85,127.25,125.35,1.9,1.52
Reliance,"2,431.80","2,406.30","2,418.10","2,381.85",36.25,1.52
TATA Cons. Prod,773.65,758.60,772.15,760.70,11.45,1.51
Larsen,"1,841.00","1,802.00","1,825.05","1,798.10",26.95,1.5
Axis Bank,701.55,687.65,697.10,687.00,10.1,1.47
Wipro,653.00,638.25,641.70,632.40,9.3,1.47
Bajaj Auto,"3,337.95","3,297.00","3,332.05","3,286.45",45.6,1.39
Eicher Motors,"2,516.95","2,465.00","2,505.55","2,471.80",33.75,1.37
HDFC,"2,864.00","2,820.05","2,853.00","2,817.50",35.5,1.26
TCS,"3,646.45","3,601.00","3,626.90","3,584.50",42.4,1.18
Hero Motocorp,"2,500.00","2,460.15","2,490.65","2,461.80",28.85,1.17
Dr Reddys Labs,"4,589.70","4,527.25","4,570.70","4,520.70",50,1.11
Titan Company,"2,418.00","2,377.10","2,405.55","2,380.55",25,1.05
Cipla,902.00,890.30,897.95,889.25,8.7,0.98
SBI Life Insura,"1,173.00","1,158.60","1,169.50","1,159.15",10.35,0.89
BPCL,392.25,389.15,391.15,387.80,3.35,0.86
HUL,"2,344.45","2,318.25","2,340.60","2,321.60",19,0.82
Nestle,"19,524.95","19,225.05","19,479.10","19,344.25",134.85,0.7
Coal India,151.75,150.05,150.90,150.65,0.25,0.17
UPL,735.65,725.95,728.10,726.95,1.15,0.16
