company_name,high,low,last_price,prev_close,change,percent_gain
Sun Pharma,778.85,745.30,775.10,756.05,19.05,2.52
Kotak Mahindra,"1,881.75","1,836.75","1,867.40","1,840.40",27,1.47
M&M,853.70,838.20,846.20,836.85,9.35,1.12
Maruti Suzuki,"7,640.00","7,453.05","7,567.95","7,493.15",74.8,1
Hero Motocorp,"2,524.00","2,476.15","2,507.15","2,483.80",23.35,0.94
TATA Cons. Prod,750.50,735.20,746.30,739.50,6.8,0.92
Larsen,"1,898.75","1,863.65","1,880.80","1,865.70",15.1,0.81
HDFC Life,675.30,665.10,672.85,669.50,3.35,0.5
Tata Motors,497.70,487.25,491.65,489.40,2.25,0.46
NTPC,128.45,125.90,126.70,126.35,0.35,0.28
Eicher Motors,"2,508.15","2,475.00","2,493.35","2,487.45",5.9,0.24
Axis Bank,720.00,707.55,712.50,710.90,1.6,0.23
Asian Paints,"3,313.95","3,266.50","3,301.95","3,297.50",4.45,0.13
HUL,"2,324.80","2,300.50","2,320.95","2,318.30",2.65,0.11
Bajaj Auto,"3,329.85","3,275.00","3,294.50","3,291.65",2.85,0.09
Cipla,901.85,891.70,895.70,895.60,0.1,0.01
