company_name,high,low,last_price,prev_close,change,percent_gain
ICICI Bank,677.85,650.75,676.65,655.95,20.7,3.16
ITC,213.60,206.50,212.40,207.00,5.4,2.61
Wipro,601.80,583.70,599.15,584.20,14.95,2.56
SBI Life Insura,"1,053.95","1,023.55","1,050.45","1,026.00",24.45,2.38
SBI,429.95,419.50,428.90,422.05,6.85,1.62
HCL Tech,"1,003.90",982.60,994.00,978.60,15.4,1.57
TATA Cons. Prod,777.00,766.00,775.15,764.20,10.95,1.43
Axis Bank,764.00,740.10,755.40,746.75,8.65,1.16
Bajaj Finserv,"13,243.95","12,945.05","13,201.20","13,064.60",136.6,1.05
Sun Pharma,698.95,681.60,694.00,687.30,6.7,0.97
Kotak Mahindra,"1,727.30","1,694.15","1,722.95","1,707.20",15.75,0.92
Nestle,"18,224.00","17,882.25","18,143.95","17,994.80",149.15,0.83
M&M,767.85,758.25,764.20,758.45,5.75,0.76
Dr Reddys Labs,"5,432.00","5,360.10","5,422.15","5,384.50",37.65,0.7
Tata Steel,"1,295.50","1,274.00","1,281.40","1,273.00",8.4,0.66
HDFC Life,667.95,661.80,665.35,662.10,3.25,0.49
Britannia,"3,452.50","3,425.30","3,439.80","3,425.30",14.5,0.42
UltraTechCement,"7,638.95","7,470.00","7,490.30","7,459.00",31.3,0.42
Bharti Airtel,560.65,532.75,548.30,546.70,1.6,0.29
JSW Steel,727.00,712.00,717.55,716.55,1,0.14
BPCL,465.80,459.30,461.35,460.90,0.45,0.1
Infosys,"1,598.50","1,585.05","1,590.45","1,590.20",0.25,0.02
