company_name,high,low,last_price,prev_close,change,percent_gain
JSW Steel,415.30,403.50,414.00,401.60,12.4,3.09
Eicher Motors,"2,687.00","2,598.90","2,672.30","2,592.70",79.6,3.07
Tata Steel,729.95,703.05,724.50,706.75,17.75,2.51
Bajaj Finance,"5,561.00","5,440.00","5,545.05","5,415.05",130,2.4
Sun Pharma,627.90,615.35,626.00,612.60,13.4,2.19
Hindalco,342.35,330.45,340.35,333.25,7.1,2.13
Tech Mahindra,"1,016.80",993.00,"1,008.75",988.15,20.6,2.08
Axis Bank,765.70,749.15,760.75,745.45,15.3,2.05
Tata Motors,324.45,316.70,321.45,315.20,6.25,1.98
Cipla,814.75,801.00,812.40,797.00,15.4,1.93
Bajaj Auto,"3,879.00","3,802.00","3,867.55","3,798.75",68.8,1.81
Wipro,430.70,423.00,426.70,419.20,7.5,1.79
Infosys,"1,374.00","1,355.00","1,368.15","1,345.55",22.6,1.68
HCL Tech,995.10,979.70,988.50,973.15,15.35,1.58
Britannia,"3,489.00","3,438.50","3,480.35","3,426.75",53.6,1.56
IndusInd Bank,"1,060.00","1,033.05","1,039.85","1,024.80",15.05,1.47
M&M,875.00,849.00,863.80,852.00,11.8,1.38
Grasim,"1,389.35","1,360.00","1,385.05","1,366.35",18.7,1.37
HUL,"2,236.90","2,193.20","2,227.85","2,198.50",29.35,1.34
Dr Reddys Labs,"4,519.85","4,456.05","4,500.40","4,448.30",52.1,1.17
Larsen,"1,534.75","1,507.50","1,524.20","1,508.30",15.9,1.05
UltraTechCement,"6,789.00","6,684.00","6,764.05","6,697.40",66.65,1
Titan Company,"1,481.00","1,463.00","1,471.25","1,456.90",14.35,0.98
Shree Cements,"27,693.85","27,300.00","27,555.80","27,313.15",242.65,0.89
HDFC,"2,609.40","2,580.60","2,599.80","2,577.30",22.5,0.87
Bharti Airtel,530.50,516.35,525.85,521.75,4.1,0.79
Divis Labs,"3,543.85","3,482.25","3,528.10","3,503.20",24.9,0.71
TCS,"3,093.20","3,060.00","3,070.95","3,050.95",20,0.66
Asian Paints,"2,446.00","2,415.55","2,431.95","2,422.70",9.25,0.38
Bajaj Finserv,"10,094.70","9,930.60","9,991.45","9,969.15",22.3,0.22
NTPC,110.60,108.95,109.65,109.50,0.15,0.14
Nestle,"17,000.00","16,785.00","16,931.45","16,910.80",20.65,0.12
ICICI Bank,630.50,621.80,625.60,625.10,0.5,0.08
SBI,393.00,385.70,387.70,387.60,0.1,0.03
