company_name,high,low,last_price,prev_close,change,percent_gain
TATA Cons. Prod,737.75,721.00,735.90,719.50,16.4,2.28
NTPC,120.60,116.85,119.80,117.80,2,1.7
Nestle,"18,068.50","17,613.05","17,965.20","17,684.80",280.4,1.59
ONGC,128.25,126.10,126.70,125.35,1.35,1.08
HUL,"2,418.85","2,383.65","2,407.90","2,391.95",15.95,0.67
Bajaj Finserv,"11,985.00","11,775.00","11,856.15","11,798.70",57.45,0.49
Infosys,"1,489.45","1,467.50","1,480.60","1,473.90",6.7,0.45
ITC,209.35,207.05,207.85,207.05,0.8,0.39
TCS,"3,294.70","3,253.00","3,274.35","3,262.75",11.6,0.36
Tech Mahindra,"1,077.95","1,055.00","1,069.15","1,066.85",2.3,0.22
Britannia,"3,644.80","3,605.05","3,639.45","3,631.85",7.6,0.21
IOC,117.15,115.50,115.90,115.75,0.15,0.13
