company_name,high,low,last_price,prev_close,change,percent_gain
Divis Labs,"4,772.00","4,620.00","4,757.60","4,607.30",150.3,3.26
Bharti Airtel,543.40,525.95,541.15,525.45,15.7,2.99
UltraTechCement,"7,360.00","7,182.65","7,334.55","7,189.65",144.9,2.02
Tata Steel,"1,281.30","1,259.05","1,278.45","1,255.95",22.5,1.79
Power Grid Corp,236.50,230.50,233.85,230.40,3.45,1.5
Reliance,"2,114.75","2,087.60","2,112.40","2,082.35",30.05,1.44
Hindalco,406.00,399.35,405.50,401.45,4.05,1.01
Grasim,"1,579.30","1,548.05","1,572.30","1,557.25",15.05,0.97
Sun Pharma,695.65,682.65,688.60,683.00,5.6,0.82
ITC,209.65,207.20,207.90,206.25,1.65,0.8
Hero Motocorp,"2,908.65","2,880.00","2,904.70","2,884.65",20.05,0.7
JSW Steel,707.00,700.70,703.60,699.10,4.5,0.64
HDFC Life,702.00,692.15,698.00,693.65,4.35,0.63
Larsen,"1,622.80","1,595.10","1,618.75","1,609.35",9.4,0.58
Cipla,989.90,973.60,977.15,973.60,3.55,0.36
Tata Motors,315.45,310.50,311.25,310.25,1,0.32
Wipro,589.25,568.30,577.75,575.90,1.85,0.32
Dr Reddys Labs,"5,450.00","5,383.85","5,406.55","5,393.65",12.9,0.24
BPCL,451.05,445.80,448.00,447.05,0.95,0.21
HUL,"2,430.00","2,406.00","2,417.40","2,412.35",5.05,0.21
Asian Paints,"3,006.00","2,965.00","2,989.30","2,983.60",5.7,0.19
Nestle,"17,715.00","17,537.95","17,654.20","17,621.85",32.35,0.18
UPL,852.40,830.80,837.55,836.25,1.3,0.16
HDFC Bank,"1,529.95","1,518.80","1,522.35","1,520.70",1.65,0.11
