company_name,high,low,last_price,prev_close,change,percent_gain
Sun Pharma,783.75,696.15,773.95,703.00,70.95,10.09
Tech Mahindra,"1,237.30","1,175.00","1,209.55","1,127.80",81.75,7.25
Cipla,929.90,877.75,920.05,883.10,36.95,4.18
Shree Cements,"28,333.75","27,583.15","28,265.75","27,638.95",626.8,2.27
Adani Ports,687.80,659.50,674.50,659.65,14.85,2.25
Power Grid Corp,173.20,168.20,171.15,167.40,3.75,2.24
Bajaj Auto,"3,858.00","3,753.15","3,829.60","3,763.75",65.85,1.75
HCL Tech,"1,049.95","1,009.90","1,024.95","1,007.60",17.35,1.72
M&M,760.00,731.85,743.10,731.45,11.65,1.59
Divis Labs,"4,940.95","4,862.25","4,906.10","4,843.80",62.3,1.29
NTPC,119.95,116.25,118.20,116.75,1.45,1.24
HDFC,"2,464.70","2,414.80","2,441.15","2,414.80",26.35,1.09
Dr Reddys Labs,"4,805.00","4,677.60","4,711.20","4,672.65",38.55,0.83
Coal India,144.90,141.25,143.30,142.15,1.15,0.81
Kotak Mahindra,"1,669.90","1,626.00","1,654.80","1,641.65",13.15,0.8
TATA Cons. Prod,762.00,745.20,756.25,751.20,5.05,0.67
Hero Motocorp,"2,802.00","2,745.70","2,763.30","2,745.70",17.6,0.64
HDFC Bank,"1,431.75","1,407.95","1,426.45","1,418.25",8.2,0.58
Britannia,"3,440.00","3,378.00","3,423.40","3,405.60",17.8,0.52
ONGC,116.75,113.80,115.30,114.75,0.55,0.48
Grasim,"1,566.00","1,521.65","1,551.35","1,544.60",6.75,0.44
Tata Motors,300.00,293.25,293.95,292.90,1.05,0.36
Larsen,"1,624.90","1,585.00","1,601.45","1,596.00",5.45,0.34
HDFC Life,672.00,661.35,664.05,662.65,1.4,0.21
Eicher Motors,"2,563.70","2,509.00","2,530.25","2,528.15",2.1,0.08
