company_name,high,low,last_price,prev_close,change,percent_gain
IOL Chemicals,424.40,353.70,424.40,353.70,70.70,19.99
Spandana Sphoor,398.25,332.95,396.75,331.90,64.85,19.54
Lux Industries,"2,629.10","2,200.00","2,533.15","2,190.95",342.20,15.62
Ujjivan Financi,115.35,102.65,114.15,101.85,12.30,12.08
Restaurant Bran,113.80,100.70,112.75,100.75,12.00,11.91
Sunteck Realty,499.95,430.00,487.50,436.75,50.75,11.62
NCC,65.50,61.00,64.95,58.55,6.40,10.93
Indiabulls Real,113.00,101.70,112.00,101.40,10.60,10.45
Welspun Corp,187.50,168.00,184.30,167.40,16.90,10.1
Ujjivan Small,16.45,14.80,16.25,14.80,1.45,9.8
BHEL,54.20,49.45,53.85,49.35,4.50,9.12
Vaibhav Global,417.50,374.45,408.05,373.95,34.10,9.12
NFL,59.30,52.45,57.85,53.05,4.80,9.05
Valiant Organic,"1,014.45",922.30,"1,002.30",920.90,81.40,8.84
Future Consumer,5.05,4.60,4.95,4.55,0.40,8.79
Vakrangee,38.15,34.40,37.70,34.70,3.00,8.65
Sequent Scienti,146.25,133.85,144.55,133.80,10.75,8.03
Bajaj Holdings,"5,480.00","5,030.00","5,398.85","5,011.05",387.80,7.74
Suprajit Eng,379.80,339.35,368.30,342.20,26.10,7.63
GSFC,175.90,161.05,174.05,162.05,12.00,7.41
Wockhardt,284.80,265.65,282.85,263.60,19.25,7.3
Huhtamaki India,165.00,150.80,161.60,150.90,10.70,7.09
Dhani Services,67.90,62.05,66.75,62.35,4.40,7.06
Aarti Drugs,464.80,430.00,459.20,429.10,30.10,7.01
Varroc Engineer,382.00,345.75,369.55,345.75,23.80,6.88
NESCO,604.90,545.15,590.30,552.50,37.80,6.84
Aegis Logistics,220.80,205.20,219.50,205.55,13.95,6.79
Kaveri Seed,589.40,544.20,583.95,547.00,36.95,6.76
JK Paper,328.40,305.45,324.30,303.95,20.35,6.7
Just Dial,763.90,711.40,757.70,711.40,46.30,6.51
Manappuram Fin,121.40,113.55,120.70,113.55,7.15,6.3
Indo Count,170.60,158.05,168.95,158.95,10.00,6.29
Union Bank,41.25,38.50,41.10,38.70,2.40,6.2
HDFC AMC,"2,292.10","2,158.45","2,276.50","2,146.05",130.45,6.08
Indiabulls Hsg,168.20,157.45,167.10,157.80,9.30,5.89
NTPC,143.45,136.80,142.95,135.00,7.95,5.89
Rashtriya Chem,96.35,88.25,94.60,89.45,5.15,5.76
Guj Alkali,962.00,900.40,946.50,896.55,49.95,5.57
Venkys,"2,290.00","2,150.00","2,261.35","2,142.45",118.90,5.55
DCM Shriram,"1,241.95","1,126.75","1,192.10","1,130.10",62.00,5.49
Canara Bank,240.75,227.10,239.95,227.75,12.20,5.36
Johnson Control,"1,880.75","1,776.05","1,865.30","1,770.75",94.55,5.34
Bank of India,48.60,45.80,48.30,45.85,2.45,5.34
GMR Infra,39.30,36.60,38.90,36.95,1.95,5.28
RBL Bank,137.70,129.70,137.00,130.20,6.80,5.22
Elgi Equipments,298.00,279.55,294.00,279.55,14.45,5.17
NBCC (India),38.30,36.40,38.15,36.30,1.85,5.1
IDFC First Bank,41.85,39.45,41.70,39.70,2.00,5.04
SOLARA ACTIVE P,722.20,669.40,699.70,666.10,33.60,5.04
Dilip Buildcon,255.00,241.75,253.15,241.10,12.05,5
Future Retail,32.75,31.20,32.75,31.20,1.55,4.97
Caplin Labs,715.95,677.65,711.70,678.20,33.50,4.94
Mazagon Dock,252.00,240.20,251.45,239.70,11.75,4.9
Oberoi Realty,989.60,939.45,985.55,939.85,45.70,4.86
SpiceJet,57.50,54.50,56.95,54.40,2.55,4.69
Welspun India,95.85,90.70,95.10,90.85,4.25,4.68
Vodafone Idea,10.30,9.60,10.10,9.65,0.45,4.66
Shriram City,"1,715.00","1,622.10","1,699.80","1,624.10",75.70,4.66
Adani Total Gas,"2,281.00","2,155.65","2,249.50","2,149.80",99.70,4.64
FDC,269.95,256.40,268.85,257.10,11.75,4.57
Schneider Infra,125.80,117.25,123.90,118.55,5.35,4.51
Tata Inv Corp,"1,429.00","1,350.00","1,417.50","1,356.50",61.00,4.5
Prism Johnson,121.05,114.80,120.35,115.20,5.15,4.47
Finolex Cables,398.05,375.25,394.50,377.65,16.85,4.46
Sterling Wilson,334.90,319.00,332.25,318.05,14.20,4.46
Rain Industries,203.65,193.20,202.60,194.00,8.60,4.43
CAMS,"2,436.30","2,320.80","2,417.70","2,315.85",101.85,4.4
Federal Bank,102.25,97.15,101.60,97.40,4.20,4.31
Ashoka Buildcon,89.90,86.05,89.45,85.80,3.65,4.25
DCB Bank,73.20,69.70,72.35,69.40,2.95,4.25
IRB Infra,263.80,251.05,261.90,251.25,10.65,4.24
Bandhan Bank,321.40,303.20,320.30,307.40,12.90,4.2
India Cements,220.00,208.70,218.30,209.50,8.80,4.2
BPCL,375.00,361.55,374.40,359.35,15.05,4.19
City Union Bank,134.80,129.05,134.30,128.90,5.40,4.19
J. K. Cement,"2,544.45","2,422.55","2,532.50","2,431.30",101.20,4.16
HUDCO,34.25,32.70,34.10,32.75,1.35,4.12
GAIL,162.40,155.85,162.05,155.65,6.40,4.11
Procter&Gamble,"4,205.05","3,991.65","4,166.40","4,002.40",164.00,4.1
Rossari,955.85,912.00,949.00,911.60,37.40,4.1
Shriram Trans,"1,199.00","1,127.90","1,181.35","1,134.85",46.50,4.1
Amara Raja Batt,559.90,537.10,558.35,536.40,21.95,4.09
Lakshmi Machine,"10,134.00","9,674.95","10,010.65","9,618.15",392.50,4.08
Indian Bank,160.60,153.45,160.10,153.90,6.20,4.03
PNB Housing Fin,392.80,375.95,391.80,376.85,14.95,3.97
Zee Entertain,301.90,285.15,299.80,288.35,11.45,3.97
M&M Financial,166.85,158.55,165.45,159.15,6.30,3.96
AB Capital,112.30,107.80,111.90,107.65,4.25,3.95
