company_name,high,low,last_price,prev_close,change,percent_gain
Axis Bank,711.90,693.10,704.00,688.05,15.95,2.32
Tech Mahindra,"1,655.50","1,597.45","1,638.15","1,602.65",35.5,2.22
Maruti Suzuki,"7,575.90","7,425.00","7,516.40","7,425.65",90.75,1.22
Wipro,656.55,640.20,645.40,638.25,7.15,1.12
SBI Life Insura,"1,204.65","1,178.00","1,186.65","1,175.60",11.05,0.94
Power Grid Corp,209.65,203.70,204.40,202.65,1.75,0.86
Hindalco,469.50,457.45,458.25,455.10,3.15,0.69
Divis Labs,"4,590.80","4,490.00","4,530.40","4,506.45",23.95,0.53
Titan Company,"2,386.00","2,340.10","2,350.50","2,339.35",11.15,0.48
UPL,751.90,735.50,740.40,737.45,2.95,0.4
Tata Motors,506.40,494.20,495.35,494.45,0.9,0.18
Sun Pharma,773.35,759.00,762.60,761.35,1.25,0.16
Dr Reddys Labs,"4,678.00","4,566.45","4,599.80","4,593.30",6.5,0.14
Shree Cements,"26,636.10","26,176.20","26,433.65","26,406.45",27.2,0.1
