company_name,high,low,last_price,prev_close,change,percent_gain
UPL,840.85,810.50,837.60,815.80,21.8,2.67
Tata Steel,"1,129.80","1,104.00","1,124.05","1,100.90",23.15,2.1
SBI Life Insura,993.45,963.40,984.40,966.30,18.1,1.87
IndusInd Bank,"1,030.00","1,003.50","1,028.00","1,010.05",17.95,1.78
Adani Ports,824.00,802.95,811.50,798.20,13.3,1.67
JSW Steel,709.05,696.55,706.05,694.50,11.55,1.66
HDFC Life,677.95,662.90,675.90,665.25,10.65,1.6
Tata Motors,324.40,315.60,323.00,318.10,4.9,1.54
Reliance,"2,209.50","2,157.00","2,201.25","2,168.90",32.35,1.49
Power Grid Corp,228.15,224.10,227.45,224.40,3.05,1.36
Bajaj Auto,"4,305.90","4,200.00","4,295.05","4,238.95",56.1,1.32
Maruti Suzuki,"7,197.70","7,063.45","7,184.70","7,091.15",93.55,1.32
TATA Cons. Prod,674.75,660.15,673.55,665.80,7.75,1.16
SBI,437.95,429.15,437.25,432.55,4.7,1.09
Hindalco,402.70,389.00,398.80,394.70,4.1,1.04
Coal India,149.90,147.00,149.10,147.60,1.5,1.02
Shree Cements,"28,008.00","27,553.30","27,893.90","27,623.15",270.75,0.98
Sun Pharma,678.10,670.15,677.45,671.05,6.4,0.95
Cipla,960.50,946.45,954.70,946.45,8.25,0.87
IOC,111.40,109.55,110.85,109.90,0.95,0.86
NTPC,111.35,110.05,111.15,110.20,0.95,0.86
Britannia,"3,486.00","3,446.05","3,475.25","3,446.75",28.5,0.83
BPCL,475.45,469.00,474.65,470.85,3.8,0.81
Eicher Motors,"2,694.00","2,638.10","2,677.75","2,665.80",11.95,0.45
Bajaj Finance,"5,845.00","5,742.55","5,808.65","5,784.80",23.85,0.41
ONGC,119.40,116.00,117.75,117.60,0.15,0.13
Wipro,545.00,533.00,543.00,542.80,0.2,0.04
HUL,"2,373.65","2,350.00","2,358.80","2,358.30",0.5,0.02
