company_name,high,low,last_price,prev_close,change,percent_gain
Asian Paints,"3,292.00","3,178.70","3,283.15","3,178.70",104.45,3.29
Grasim,"1,757.20","1,715.00","1,749.20","1,722.75",26.45,1.54
SBI,495.95,484.40,494.70,488.65,6.05,1.24
SBI Life Insura,"1,177.80","1,156.80","1,175.60","1,161.35",14.25,1.23
M&M,868.60,850.10,859.70,851.10,8.6,1.01
TCS,"3,642.00","3,575.10","3,636.80","3,601.75",35.05,0.97
BPCL,397.90,391.00,396.95,393.75,3.2,0.81
JSW Steel,681.45,670.00,679.55,674.10,5.45,0.81
Bajaj Finserv,"17,763.55","17,300.65","17,711.10","17,596.60",114.5,0.65
ICICI Bank,759.80,751.05,758.00,755.00,3,0.4
ITC,238.95,233.75,236.10,235.40,0.7,0.3
IOC,121.30,119.60,120.05,119.70,0.35,0.29
Tata Steel,"1,188.90","1,167.60","1,180.00","1,176.85",3.15,0.27
Britannia,"3,642.00","3,604.40","3,632.45","3,623.90",8.55,0.24
Hero Motocorp,"2,544.80","2,512.90","2,526.85","2,520.95",5.9,0.23
HDFC Life,686.00,680.25,684.75,683.15,1.6,0.23
Sun Pharma,775.00,754.20,761.35,759.75,1.6,0.21
Bajaj Finance,"7,467.00","7,360.00","7,452.50","7,440.30",12.2,0.16
ONGC,148.00,145.55,147.55,147.35,0.2,0.14
Bajaj Auto,"3,364.20","3,320.00","3,344.75","3,341.00",3.75,0.11
Reliance,"2,466.00","2,430.35","2,458.95","2,456.45",2.5,0.1
Tata Motors,496.80,486.55,494.45,493.95,0.5,0.1
UltraTechCement,"7,451.85","7,390.30","7,440.45","7,433.85",6.6,0.09
NTPC,126.70,124.40,126.15,126.05,0.1,0.08
Maruti Suzuki,"7,475.00","7,357.95","7,425.65","7,421.75",3.9,0.05
