company_name,high,low,last_price,prev_close,change,percent_gain
Maruti Suzuki,"7,479.00","7,240.05","7,432.70","7,265.40",167.3,2.3
Titan Company,"1,786.00","1,755.05","1,782.55","1,757.00",25.55,1.45
Bajaj Finserv,"12,400.00","12,080.00","12,282.25","12,131.65",150.6,1.24
ONGC,124.40,121.75,123.35,122.05,1.3,1.07
M&M,786.00,775.00,781.95,775.20,6.75,0.87
Hero Motocorp,"2,995.00","2,921.00","2,928.35","2,907.05",21.3,0.73
UltraTechCement,"6,953.70","6,782.00","6,903.35","6,858.95",44.4,0.65
Eicher Motors,"2,763.00","2,708.60","2,728.60","2,718.20",10.4,0.38
Britannia,"3,684.30","3,631.00","3,659.30","3,650.90",8.4,0.23
Cipla,966.00,954.20,957.75,955.85,1.9,0.2
UPL,810.95,793.10,804.00,802.50,1.5,0.19
Grasim,"1,512.25","1,484.00","1,498.75","1,496.30",2.45,0.16
Hindalco,377.00,367.35,368.10,367.55,0.55,0.15
TATA Cons. Prod,765.00,751.85,757.85,756.70,1.15,0.15
HDFC Life,723.65,716.35,717.75,716.75,1,0.14
HDFC Bank,"1,497.80","1,478.60","1,485.50","1,483.80",1.7,0.11
SBI,424.75,415.00,418.85,418.65,0.2,0.05
