company_name,high,low,last_price,prev_close,change,percent_gain
Tata Steel,"1,164.60","1,113.10","1,158.35","1,114.45",43.9,3.94
Coal India,165.00,156.65,162.65,156.50,6.15,3.93
JSW Steel,734.10,704.75,731.20,705.80,25.4,3.6
Dr Reddys Labs,"5,489.90","5,288.55","5,453.00","5,292.05",160.95,3.04
Hindalco,395.00,383.15,393.15,385.40,7.75,2.01
Power Grid Corp,248.80,244.00,246.30,241.65,4.65,1.92
TCS,"3,309.00","3,211.00","3,273.80","3,216.80",57,1.77
Tata Motors,352.90,344.35,350.75,344.75,6,1.74
Infosys,"1,451.60","1,429.45","1,446.90","1,424.30",22.6,1.59
Eicher Motors,"2,752.55","2,710.85","2,746.40","2,705.05",41.35,1.53
HCL Tech,990.00,970.50,983.35,968.55,14.8,1.53
Reliance,"2,228.00","2,180.10","2,213.15","2,183.00",30.15,1.38
TATA Cons. Prod,717.35,709.50,715.40,707.70,7.7,1.09
Sun Pharma,686.35,674.05,681.30,676.05,5.25,0.78
Tech Mahindra,"1,082.40","1,054.90","1,073.00","1,064.90",8.1,0.76
Bajaj Finance,"6,230.00","6,045.20","6,120.00","6,086.40",33.6,0.55
HDFC Bank,"1,496.55","1,481.05","1,486.35","1,481.05",5.3,0.36
Maruti Suzuki,"7,244.00","7,186.40","7,223.80","7,199.90",23.9,0.33
M&M,815.85,805.50,809.00,806.95,2.05,0.25
NTPC,119.55,117.55,118.80,118.50,0.3,0.25
Asian Paints,"2,971.60","2,938.60","2,956.25","2,950.60",5.65,0.19
BPCL,489.50,481.70,483.60,483.55,0.05,0.01
Wipro,558.95,551.50,554.30,554.25,0.05,0.01
