company_name,high,low,last_price,prev_close,change,percent_gain
Power Grid Corp,187.70,176.30,187.00,176.35,10.65,6.04
Tech Mahindra,"1,394.80","1,317.75","1,386.55","1,323.60",62.95,4.76
Tata Motors,307.40,297.30,306.00,295.45,10.55,3.57
HCL Tech,"1,101.15","1,068.00","1,096.50","1,066.95",29.55,2.77
Larsen,"1,627.00","1,582.00","1,623.45","1,583.30",40.15,2.54
Titan Company,"1,829.60","1,781.00","1,823.60","1,789.40",34.2,1.91
NTPC,119.40,116.50,119.15,116.95,2.2,1.88
HDFC Life,675.90,665.40,674.95,666.65,8.3,1.25
TATA Cons. Prod,776.20,763.00,774.25,765.00,9.25,1.21
Bajaj Auto,"3,777.00","3,736.00","3,769.35","3,727.15",42.2,1.13
ICICI Bank,702.95,693.30,701.35,693.55,7.8,1.12
Bajaj Finserv,"14,380.00","14,130.00","14,340.70","14,206.20",134.5,0.95
Wipro,608.90,600.65,605.85,601.25,4.6,0.77
Infosys,"1,696.50","1,674.00","1,689.60","1,677.55",12.05,0.72
Adani Ports,710.40,700.00,704.05,699.15,4.9,0.7
Tata Steel,"1,444.70","1,416.55","1,435.35","1,426.20",9.15,0.64
Bajaj Finance,"6,254.90","6,151.25","6,199.50","6,167.80",31.7,0.51
HDFC Bank,"1,507.60","1,489.30","1,501.40","1,494.95",6.45,0.43
UPL,785.65,772.05,777.10,773.80,3.3,0.43
Kotak Mahindra,"1,791.00","1,762.00","1,787.70","1,780.60",7.1,0.4
HDFC,"2,675.25","2,646.60","2,668.75","2,658.50",10.25,0.39
Bharti Airtel,628.95,617.00,623.15,620.85,2.3,0.37
Coal India,146.70,143.70,144.40,143.95,0.45,0.31
TCS,"3,368.00","3,326.00","3,351.75","3,344.20",7.55,0.23
UltraTechCement,"7,580.00","7,432.85","7,468.70","7,452.45",16.25,0.22
Shree Cements,"27,062.15","26,500.05","26,593.00","26,547.50",45.5,0.17
Hindalco,444.30,433.85,437.25,436.65,0.6,0.14
ITC,214.20,208.35,208.90,208.65,0.25,0.12
Asian Paints,"2,985.25","2,958.00","2,975.50","2,972.60",2.9,0.1
HUL,"2,413.50","2,377.45","2,392.30","2,390.45",1.85,0.08
Hero Motocorp,"2,801.25","2,775.00","2,782.95","2,781.60",1.35,0.05
