company_name,high,low,last_price,prev_close,change,percent_gain
Zomato,72.10,62.60,71.05,62.05,9.00,14.5
Guj Amb Exports,345.00,308.10,339.80,302.20,37.60,12.44
Dixon Technolog,"3,883.60","3,460.00","3,804.05","3,421.15",382.90,11.19
3M India,"20,899.00","19,052.00","19,475.05","17,563.45","1,911.60",10.88
Affle India,"1,044.90",963.00,"1,033.45",937.40,96.05,10.25
Fine Organics,"4,679.95","4,323.60","4,507.70","4,095.70",412.00,10.06
Rattanindia Ent,44.80,42.70,44.80,40.75,4.05,9.94
Timken,"2,255.00","2,112.00","2,156.75","1,964.15",192.60,9.81
Jubilant Food,573.75,511.50,566.85,516.75,50.10,9.7
KPIT Tech,525.00,485.60,521.70,476.10,45.60,9.58
City Union Bank,139.25,125.60,138.60,126.60,12.00,9.48
Metro Brands,596.05,525.20,574.80,525.15,49.65,9.45
Sobha,546.50,503.80,541.15,496.90,44.25,8.91
Intellect Desig,678.80,630.60,673.85,623.30,50.55,8.11
Piramal Enter,"1,790.05","1,678.25","1,777.35","1,645.30",132.05,8.03
Schaeffler Ind,"2,349.90","2,176.75","2,316.80","2,145.45",171.35,7.99
Allcargo,321.90,300.20,318.25,296.10,22.15,7.48
Balaji Amines,"3,077.00","2,854.60","3,038.50","2,828.40",210.10,7.43
SKF India,"3,649.95","3,249.90","3,507.30","3,267.35",239.95,7.34
CG Consumer,357.35,330.50,351.60,327.75,23.85,7.28
Laxmi Organic,370.65,345.30,365.20,341.60,23.60,6.91
DLF,347.85,327.20,346.85,324.55,22.30,6.87
Route,"1,287.25","1,214.00","1,274.50","1,193.10",81.40,6.82
Lux Industries,"2,215.00","2,069.95","2,156.60","2,019.50",137.10,6.79
Angel One,"1,430.00","1,351.00","1,418.35","1,329.05",89.30,6.72
Bank of Mah,17.70,16.60,17.60,16.50,1.10,6.67
Rain Industries,164.85,153.20,162.90,152.85,10.05,6.58
Welspun Corp,222.20,205.00,219.75,206.25,13.50,6.55
IRCTC,713.00,662.85,695.10,652.45,42.65,6.54
Alkyl Amines,"3,036.10","2,680.10","2,812.15","2,640.10",172.05,6.52
HUDCO,36.00,34.70,35.50,33.35,2.15,6.45
COFORGE LTD.,"3,915.00","3,752.55","3,898.30","3,671.45",226.85,6.18
Macrotech Dev,946.70,888.80,936.45,882.70,53.75,6.09
Finolex Ind,154.50,144.40,153.10,144.40,8.70,6.02
Persistent,"3,795.95","3,605.00","3,757.65","3,546.20",211.45,5.96
Dilip Buildcon,243.00,226.15,235.95,222.85,13.10,5.88
United Spirits,830.80,780.55,822.65,777.80,44.85,5.77
Union Bank,38.15,36.15,37.90,35.85,2.05,5.72
Indian Hotels,239.50,227.30,237.80,225.05,12.75,5.67
