company_name,high,low,last_price,prev_close,change,percent_gain
JSW Steel,512.95,470.00,508.75,468.45,40.3,8.6
Hindalco,352.00,328.45,350.25,326.85,23.4,7.16
Tata Steel,868.90,819.00,863.05,811.85,51.2,6.31
Adani Ports,742.00,705.00,736.25,702.40,33.85,4.82
IndusInd Bank,997.00,959.10,993.30,954.45,38.85,4.07
Kotak Mahindra,"1,813.25","1,750.65","1,804.55","1,753.00",51.55,2.94
UltraTechCement,"6,933.70","6,731.20","6,898.85","6,737.95",160.9,2.39
Bajaj Finance,"5,288.50","5,161.95","5,272.15","5,149.85",122.3,2.37
Axis Bank,717.00,695.55,713.00,697.45,15.55,2.23
BPCL,439.95,428.05,437.40,427.95,9.45,2.21
Sun Pharma,612.70,597.35,610.75,597.80,12.95,2.17
ONGC,105.25,101.15,104.35,102.15,2.2,2.15
ICICI Bank,596.10,580.20,594.40,582.10,12.3,2.11
HCL Tech,"1,013.50",990.60,"1,002.60",982.65,19.95,2.03
Bajaj Auto,"3,764.30","3,690.20","3,743.05","3,670.60",72.45,1.97
Tata Motors,309.85,303.05,307.75,301.80,5.95,1.97
UPL,656.90,635.00,653.60,641.85,11.75,1.83
Larsen,"1,447.85","1,420.50","1,444.60","1,418.90",25.7,1.81
TATA Cons. Prod,652.95,640.65,650.15,638.90,11.25,1.76
SBI,371.90,363.10,370.65,364.30,6.35,1.74
Shree Cements,"30,279.50","29,445.40","29,951.95","29,465.40",486.55,1.65
Dr Reddys Labs,"4,594.95","4,522.05","4,587.65","4,516.00",71.65,1.59
M&M,809.80,779.75,807.60,795.25,12.35,1.55
Hero Motocorp,"3,004.95","2,933.00","2,956.10","2,913.60",42.5,1.46
IOC,93.35,91.20,93.15,91.85,1.3,1.42
Power Grid Corp,219.35,214.75,218.70,215.65,3.05,1.41
Coal India,132.40,130.60,132.15,130.35,1.8,1.38
HDFC,"2,536.95","2,480.00","2,531.45","2,498.10",33.35,1.34
NTPC,108.75,106.95,107.90,106.55,1.35,1.27
Bajaj Finserv,"9,826.00","9,667.50","9,789.50","9,668.60",120.9,1.25
Infosys,"1,391.60","1,371.00","1,385.20","1,368.05",17.15,1.25
Eicher Motors,"2,649.00","2,588.85","2,631.15","2,603.95",27.2,1.04
Maruti Suzuki,"6,991.50","6,855.00","6,923.90","6,859.20",64.7,0.94
Reliance,"2,030.00","2,003.15","2,021.85","2,003.10",18.75,0.94
ITC,220.60,217.30,220.05,218.50,1.55,0.71
Bharti Airtel,523.90,514.55,520.80,517.30,3.5,0.68
Asian Paints,"2,564.55","2,532.00","2,551.75","2,537.40",14.35,0.57
Wipro,422.85,414.35,416.40,414.15,2.25,0.54
Cipla,824.00,811.60,818.30,815.10,3.2,0.39
SBI Life Insura,890.05,876.50,883.45,880.85,2.6,0.3
Grasim,"1,467.00","1,436.95","1,454.50","1,450.55",3.95,0.27
Titan Company,"1,593.30","1,551.55","1,559.35","1,558.05",1.3,0.08
Tech Mahindra,"1,007.80",986.00,992.15,991.45,0.7,0.07
