company_name,high,low,last_price,prev_close,change,percent_gain
Rattanindia Ent,51.35,42.65,51.35,42.80,8.55,19.98
Aarti Drugs,489.95,463.15,469.65,423.15,46.50,10.99
Happiest Minds ,"1,125.00","1,005.10","1,107.60","1,000.05",107.55,10.75
Hikal,330.00,293.50,322.35,295.15,27.20,9.22
Edelweiss,62.70,57.35,62.20,57.35,4.85,8.46
ICICI Securitie,539.00,491.80,532.35,491.00,41.35,8.42
APTUS VALUE,321.45,300.10,318.05,295.90,22.15,7.49
Zee Entertain,256.40,237.55,252.30,237.80,14.50,6.1
Bajaj Finserv,"17,141.50","15,930.00","16,840.30","15,915.75",924.55,5.81
Hinduja Global,"1,427.85","1,317.20","1,402.45","1,329.25",73.20,5.51
Guj Alkali,905.00,867.40,890.95,846.20,44.75,5.29
Sun Pharma Adv,230.45,219.00,229.20,218.00,11.20,5.14
Brightcom Group,40.20,38.70,40.20,38.30,1.90,4.96
Dhani Services,49.00,46.25,49.00,46.70,2.30,4.93
TTK Prestige,914.95,870.20,908.60,867.00,41.60,4.8
Latent View,384.60,361.00,377.10,360.35,16.75,4.65
ICICI Lombard ,"1,369.00","1,296.05","1,355.50","1,296.00",59.50,4.59
Trent,"1,482.00","1,410.30","1,474.70","1,409.95",64.75,4.59
L&T Technology,"3,855.00","3,675.70","3,840.20","3,677.65",162.55,4.42
Devyani Int,213.00,204.35,212.00,203.35,8.65,4.25
Bank of Baroda,127.00,121.35,126.60,121.55,5.05,4.15
SBI Card,"1,028.65",965.25,"1,000.80",961.40,39.40,4.1
ZFCVINDIA,"9,950.95","9,500.00","9,860.35","9,472.70",387.65,4.09
Yes Bank,16.80,15.95,16.55,15.90,0.65,4.09
Century,884.00,838.30,868.00,834.50,33.50,4.01
Apollo Tyres,261.90,249.05,260.00,250.15,9.85,3.94
Route,"1,571.40","1,484.05","1,539.50","1,481.45",58.05,3.92
"NALCO",83.45,79.15,82.30,79.20,3.10,3.91
Firstsource Sol,111.00,106.00,110.55,106.40,4.15,3.9
Sterling Wilson,295.80,278.50,292.85,281.85,11.00,3.9
Jubilant Food,611.00,579.75,605.85,584.25,21.60,3.7
Blue Star,"1,051.90","1,002.35","1,048.10","1,011.05",37.05,3.66
Berger Paints,708.95,682.25,705.00,680.15,24.85,3.65
Supreme Ind,"2,024.00","1,904.00","1,969.10","1,900.10",69.00,3.63
Glenmark,408.00,388.70,403.35,389.25,14.10,3.62
Havells India,"1,352.80","1,290.75","1,348.50","1,301.35",47.15,3.62
HPCL,265.25,255.50,264.25,255.40,8.85,3.47
Hero Motocorp,"2,929.00","2,808.05","2,913.45","2,817.00",96.45,3.42
Granules India,327.70,313.95,326.95,316.25,10.70,3.38
Saregama India,410.20,396.00,407.85,394.60,13.25,3.36
