company_name,high,low,last_price,prev_close,change,percent_gain
Vakrangee,42.70,37.00,42.00,37.30,4.7,12.6
Sharda Crop,354.00,300.60,339.50,317.95,21.55,6.78
KPIT Tech,545.00,511.80,539.10,513.80,25.3,4.92
Network 18,91.60,85.00,91.50,87.25,4.25,4.87
Dish TV,18.35,16.65,18.35,17.50,0.85,4.86
Firstsource Sol,185.00,172.35,183.45,175.05,8.4,4.8
Suzlon Energy,8.10,7.45,8.10,7.75,0.35,4.52
Central Bank,23.30,20.70,21.95,21.15,0.8,3.78
COFORGE LTD.,"5,668.75","5,461.35","5,645.60","5,455.50",190.1,3.48
Ajanta Pharma,"2,159.90","2,091.00","2,122.70","2,057.70",65,3.16
HCL Tech,"1,283.80","1,246.15","1,265.20","1,227.45",37.75,3.08
IOB,21.85,19.95,20.80,20.20,0.6,2.97
eClerx Services,"2,410.00","2,336.40","2,359.05","2,291.45",67.6,2.95
Sonata,848.50,817.90,841.00,817.90,23.1,2.82
Balkrishna Ind,"2,216.85","2,151.30","2,202.50","2,143.95",58.55,2.73
Century,930.00,885.30,913.65,889.90,23.75,2.67
Phillips Carbon,234.90,223.30,229.90,224.25,5.65,2.52
Alok Industries,26.25,24.75,25.45,24.85,0.6,2.41
Kaveri Seed,536.00,512.10,531.25,518.80,12.45,2.4
Tech Mahindra,"1,735.20","1,680.35","1,723.80","1,683.80",40,2.38
UTI AMC,"1,039.00",994.45,"1,026.90","1,005.60",21.3,2.12
SBI Life Insura,"1,153.65","1,126.00","1,148.20","1,125.45",22.75,2.02
Indo Count,240.90,234.50,238.90,234.25,4.65,1.99
Valiant Organic,"1,043.00","1,004.20","1,036.00","1,016.60",19.4,1.91
L&T Infotech,"7,185.00","7,070.00","7,166.55","7,033.50",133.05,1.89
TV18 Broadcast,46.25,43.60,45.45,44.65,0.8,1.79
JSW Energy,304.95,288.60,302.35,297.15,5.2,1.75
3M India,"25,525.45","24,850.00","25,237.85","24,812.25",425.6,1.72
JK Lakshmi Cem,555.00,537.20,550.70,541.80,8.9,1.64
Radico Khaitan,"1,234.00","1,138.60","1,198.95","1,179.65",19.3,1.64
KEI Industries,"1,160.00","1,120.00","1,144.50","1,126.20",18.3,1.62
Max Healthcare,417.95,405.15,413.80,407.35,6.45,1.58
Minda Ind,"1,206.50","1,150.05","1,185.40","1,167.40",18,1.54
Godrej Ind,639.20,613.65,630.15,620.85,9.3,1.5
Caplin Labs,838.80,795.10,807.45,796.10,11.35,1.43
VST,"3,180.40","3,075.00","3,114.10","3,073.20",40.9,1.33
Adani Enterpris,"1,703.95","1,658.20","1,698.20","1,676.20",22,1.31
MMTC Ltd,48.65,47.00,47.60,47.00,0.6,1.28
Venkys,"2,639.45","2,495.85","2,552.35","2,520.40",31.95,1.27
Sobha,874.30,855.65,869.60,858.85,10.75,1.25
KEC Intl,474.50,462.75,470.60,465.10,5.5,1.18
Nilkamal,"2,428.60","2,360.00","2,407.45","2,380.35",27.1,1.14
Affle India,"1,090.00","1,065.00","1,084.35","1,072.20",12.15,1.13
Metropolis,"3,319.70","3,183.15","3,278.20","3,242.30",35.9,1.11
Jindal Stainles,186.40,180.30,183.30,181.30,2,1.1
Dixon Technolog,"5,469.00","5,384.95","5,423.40","5,369.10",54.3,1.01
KPR Mill,617.00,601.05,614.90,608.75,6.15,1.01
MphasiS,"3,291.25","3,182.50","3,218.00","3,186.40",31.6,0.99
ITI,118.40,113.80,116.10,115.00,1.1,0.96
Dr Lal PathLab,"3,573.60","3,441.05","3,514.80","3,481.70",33.1,0.95
GMM Pfaudler,"4,800.00","4,711.00","4,775.45","4,730.70",44.75,0.95
Mazagon Dock,264.50,258.70,262.30,259.95,2.35,0.9
Coromandel Int,748.75,735.00,745.15,738.55,6.6,0.89
Sterling & Wils,387.70,376.50,381.30,378.05,3.25,0.86
ICICI Securitie,764.95,749.00,758.55,752.15,6.4,0.85
Indiabulls Real,163.25,156.40,161.25,159.95,1.3,0.81
Dhanuka Agritec,739.00,725.00,734.55,728.75,5.8,0.8
Indoco Remedies,425.25,413.45,422.00,418.75,3.25,0.78
Natco Pharma,852.00,833.75,847.00,840.55,6.45,0.77
Gland,"3,918.30","3,800.00","3,893.85","3,864.60",29.25,0.76
FDC,291.90,284.45,290.45,288.35,2.1,0.73
Suprajit Eng,416.95,406.30,412.30,409.30,3,0.73
Aarti Drugs,529.00,514.25,524.80,521.10,3.7,0.71
Mindtree,"4,655.00","4,561.00","4,621.05","4,592.25",28.8,0.63
Wipro,702.40,690.15,698.45,694.55,3.9,0.56
L&T Technology,"5,399.00","5,310.10","5,343.25","5,314.65",28.6,0.54
Zensar Tech,492.75,475.20,477.60,475.10,2.5,0.53
Schaeffler Ind,"8,598.00","8,466.25","8,542.95","8,497.50",45.45,0.53
Asian Paints,"3,300.00","3,261.00","3,284.80","3,267.90",16.9,0.52
Vedanta,350.35,339.55,345.80,344.00,1.8,0.52
Alembic,102.55,98.50,101.05,100.55,0.5,0.5
Linde India,"2,456.00","2,376.20","2,426.45","2,414.85",11.6,0.48
Nippon,339.85,330.90,337.75,336.15,1.6,0.48
IFB Industries,"1,138.65","1,105.80","1,124.70","1,119.40",5.3,0.47
Birlasoft,538.40,524.30,530.55,528.50,2.05,0.39
Westlife Dev,572.35,552.50,558.00,555.90,2.1,0.38
SJVN,28.90,28.40,28.50,28.40,0.1,0.35
Alkem Lab,"3,483.95","3,415.05","3,460.95","3,449.20",11.75,0.34
Hatsun Agro,"1,311.00","1,282.35","1,298.55","1,294.30",4.25,0.33
Godrej Agrovet,555.00,530.25,534.10,532.40,1.7,0.32
Infosys,"1,875.75","1,854.00","1,863.50","1,857.60",5.9,0.32
ITC,220.45,216.45,218.00,217.30,0.7,0.32
Reliance,"2,392.00","2,337.55","2,372.80","2,365.25",7.55,0.32
ICICI Prudentia,567.00,555.00,564.35,562.65,1.7,0.3
JM Financial,74.25,72.20,73.20,73.00,0.2,0.27
Honeywell Autom,"40,449.00","39,786.00","40,165.40","40,058.40",107,0.27
Info Edge,"5,435.05","5,366.70","5,399.55","5,386.15",13.4,0.25
KNR Construct,288.00,282.60,285.95,285.25,0.7,0.25
Edelweiss,70.50,67.60,68.60,68.45,0.15,0.22
MOIL,181.60,177.80,180.10,179.70,0.4,0.22
TCS,"3,705.00","3,644.80","3,670.90","3,662.70",8.2,0.22
Escorts,"1,864.65","1,850.10","1,859.80","1,855.90",3.9,0.21
Grindwell Norto,"1,793.60","1,748.00","1,782.80","1,779.00",3.8,0.21
Tata Elxsi,"5,594.90","5,481.00","5,501.00","5,491.00",10,0.18
Ceat,"1,086.45","1,067.05","1,080.30","1,078.50",1.8,0.17
Galaxy Surfacta,"3,078.00","3,025.30","3,060.65","3,055.85",4.8,0.16
JSW Steel,655.45,639.30,651.30,650.25,1.05,0.16
Godrej Consumer,976.00,961.10,966.25,964.80,1.45,0.15
Eris Life,692.45,681.55,687.05,686.20,0.85,0.12
GMR Infra,43.00,42.15,42.65,42.60,0.05,0.12
GE Shipping,298.65,288.00,295.15,294.90,0.25,0.08
Nestle,"19,434.05","19,171.10","19,224.20","19,208.55",15.65,0.08
New India Assur,135.95,134.05,134.90,134.80,0.1,0.07
Vinati Organics,"1,950.00","1,896.40","1,917.15","1,916.50",0.65,0.03
