company_name,high,low,last_price,prev_close,change,percent_gain
NTPC,144.25,130.60,140.65,131.95,8.7,6.59
Coal India,197.00,172.80,185.70,174.55,11.15,6.39
Power Grid Corp,196.30,182.45,195.05,183.95,11.1,6.03
Sun Pharma,819.75,771.35,811.30,775.10,36.2,4.67
IOC,128.00,122.00,127.45,122.95,4.5,3.66
SBI,462.30,439.10,460.00,444.90,15.1,3.39
Hindalco,496.90,473.40,494.15,478.15,16,3.35
JSW Steel,684.30,653.60,679.80,660.85,18.95,2.87
ONGC,148.80,139.35,144.75,142.20,2.55,1.79
Cipla,"1,005.00",965.15,987.60,971.00,16.6,1.71
BPCL,438.00,426.00,436.90,429.60,7.3,1.7
Grasim,"1,678.50","1,635.05","1,669.90","1,648.75",21.15,1.28
HDFC Life,738.00,721.00,734.75,725.80,8.95,1.23
Tata Steel,"1,309.80","1,267.20","1,295.55","1,280.95",14.6,1.14
Dr Reddys Labs,"4,922.90","4,791.65","4,881.00","4,833.15",47.85,0.99
HCL Tech,"1,301.45","1,258.80","1,281.20","1,269.00",12.2,0.96
Titan Company,"2,167.90","2,110.05","2,147.50","2,129.30",18.2,0.85
M&M,815.70,799.00,812.10,806.05,6.05,0.75
Shree Cements,"29,525.10","29,168.00","29,382.40","29,242.95",139.45,0.48
Divis Labs,"4,914.30","4,752.10","4,806.45","4,784.05",22.4,0.47
Adani Ports,747.85,736.00,742.00,738.70,3.3,0.45
TCS,"3,806.00","3,722.15","3,791.90","3,779.15",12.75,0.34
Infosys,"1,701.40","1,655.00","1,692.25","1,687.10",5.15,0.31
Tata Motors,333.00,324.00,330.25,329.30,0.95,0.29
Wipro,646.50,627.35,640.75,639.60,1.15,0.18
ITC,241.40,235.70,238.10,237.75,0.35,0.15
TATA Cons. Prod,829.40,811.00,823.45,822.70,0.75,0.09
UPL,722.90,709.00,717.15,716.80,0.35,0.05
