company_name,high,low,last_price,prev_close,change,percent_gain
Dr Reddys Labs,"5,580.00","5,412.40","5,558.50","5,423.05",135.45,2.5
Hindalco,380.80,372.00,379.40,372.05,7.35,1.98
Bajaj Auto,"4,250.00","4,141.00","4,204.55","4,133.85",70.7,1.71
Tata Motors,347.40,341.20,344.25,339.60,4.65,1.37
Sun Pharma,685.80,673.70,684.15,675.45,8.7,1.29
ONGC,119.75,117.30,118.85,117.70,1.15,0.98
Asian Paints,"3,026.90","2,997.00","3,021.60","2,992.70",28.9,0.97
Maruti Suzuki,"7,605.00","7,495.05","7,584.40","7,515.90",68.5,0.91
NTPC,117.80,115.70,117.35,116.40,0.95,0.82
Hero Motocorp,"2,947.00","2,905.00","2,922.50","2,902.60",19.9,0.69
Cipla,980.00,967.20,978.10,971.90,6.2,0.64
Divis Labs,"4,453.90","4,412.85","4,435.70","4,408.25",27.45,0.62
Kotak Mahindra,"1,725.20","1,706.15","1,716.10","1,705.85",10.25,0.6
Titan Company,"1,746.40","1,725.75","1,740.30","1,732.50",7.8,0.45
SBI,423.70,417.15,420.40,419.20,1.2,0.29
HUL,"2,484.00","2,463.00","2,478.00","2,471.30",6.7,0.27
M&M,798.75,774.90,779.45,777.70,1.75,0.23
TATA Cons. Prod,760.00,750.00,756.05,754.40,1.65,0.22
HCL Tech,988.00,975.15,985.50,983.50,2,0.2
Eicher Motors,"2,709.00","2,667.90","2,675.30","2,671.15",4.15,0.16
ITC,203.80,202.15,203.00,202.70,0.3,0.15
Grasim,"1,508.35","1,489.00","1,500.30","1,498.75",1.55,0.1
Nestle,"17,725.00","17,569.50","17,646.20","17,633.00",13.2,0.07
