company_name,high,low,last_price,prev_close,change,percent_gain
Britannia,"3,946.95","3,825.20","3,930.90","3,842.80",88.1,2.29
TATA Cons. Prod,856.80,834.55,853.30,836.00,17.3,2.07
HDFC Life,702.00,690.00,698.85,687.55,11.3,1.64
BPCL,471.40,458.60,466.75,460.70,6.05,1.31
Reliance,"2,244.90","2,205.00","2,230.45","2,202.60",27.85,1.26
M&M,782.90,767.25,781.40,772.05,9.35,1.21
HCL Tech,"1,172.00","1,155.00","1,167.45","1,154.35",13.1,1.13
ICICI Bank,701.55,690.00,698.80,691.05,7.75,1.12
Shree Cements,"26,630.00","26,116.00","26,556.05","26,288.25",267.8,1.02
Axis Bank,750.00,732.35,746.35,739.05,7.3,0.99
HUL,"2,697.80","2,631.00","2,666.40","2,645.00",21.4,0.81
Nestle,"20,119.70","19,805.55","20,052.70","19,909.85",142.85,0.72
TCS,"3,687.60","3,647.90","3,671.85","3,659.00",12.85,0.35
Bajaj Finserv,"16,124.20","15,678.30","15,958.80","15,904.40",54.4,0.34
Adani Ports,733.00,717.70,721.70,720.75,0.95,0.13
Larsen,"1,602.95","1,585.00","1,595.75","1,593.80",1.95,0.12
Asian Paints,"3,084.50","3,026.20","3,039.65","3,038.05",1.6,0.05
Bajaj Auto,"3,719.65","3,670.00","3,691.40","3,689.65",1.75,0.05
HDFC,"2,720.00","2,682.20","2,700.35","2,699.25",1.1,0.04
Kotak Mahindra,"1,716.50","1,688.90","1,697.50","1,697.20",0.3,0.02
