company_name,high,low,last_price,prev_close,change,percent_gain
HDFC,"2,938.35","2,856.00","2,903.95","2,844.10",59.85,2.1
Bajaj Auto,"3,910.00","3,813.05","3,866.50","3,804.00",62.5,1.64
ONGC,158.35,154.50,157.05,155.00,2.05,1.32
Kotak Mahindra,"2,201.65","2,122.75","2,171.40","2,143.75",27.65,1.29
Axis Bank,825.00,806.80,816.70,807.80,8.9,1.1
IndusInd Bank,"1,204.70","1,176.80","1,196.40","1,184.40",12,1.01
SBI Life Insura,"1,171.80","1,141.70","1,167.20","1,158.30",8.9,0.77
Titan Company,"2,494.95","2,398.00","2,412.00","2,395.70",16.3,0.68
ICICI Bank,765.85,753.35,759.30,755.50,3.8,0.5
Shree Cements,"28,014.25","27,226.00","27,738.20","27,618.70",119.5,0.43
Bajaj Finserv,"19,250.55","18,550.00","18,658.15","18,579.60",78.55,0.42
HUL,"2,498.25","2,430.00","2,454.10","2,445.75",8.35,0.34
UltraTechCement,"7,233.00","7,100.00","7,149.60","7,129.00",20.6,0.29
HDFC Bank,"1,708.00","1,670.75","1,680.75","1,676.30",4.45,0.27
Power Grid Corp,197.00,191.25,194.45,194.05,0.4,0.21
Reliance,"2,664.90","2,611.50","2,627.40","2,622.50",4.9,0.19
