company_name,high,low,last_price,prev_close,change,percent_gain
Vijaya Diagnost,355.00,299.00,339.45,300.40,39.05,13
APL Apollo,946.00,880.35,928.50,875.45,53.05,6.06
DCM Shriram,999.00,937.95,988.15,936.35,51.8,5.53
Affle India,"1,029.30",975.05,"1,019.70",969.60,50.1,5.17
Strides Pharma ,328.20,308.55,325.90,310.30,15.6,5.03
Rattanindia Ent,44.85,43.15,44.85,42.75,2.1,4.91
Birla Corp,895.00,845.05,884.15,845.30,38.85,4.6
Medplus Health,748.90,708.05,743.35,712.40,30.95,4.34
VIP Industries,568.40,537.65,563.25,539.90,23.35,4.32
MRPL,105.30,94.60,102.95,98.80,4.15,4.2
Bajaj Finserv,"11,870.00","11,400.00","11,809.70","11,336.50",473.2,4.17
AU Small Financ,630.00,603.15,627.40,602.95,24.45,4.06
GE Shipping,402.00,377.15,395.35,380.00,15.35,4.04
IGL,356.75,345.10,355.35,341.65,13.7,4.01
Piramal Enter,"1,671.45","1,601.10","1,661.80","1,598.60",63.2,3.95
Fine Organics,"5,160.00","4,877.70","5,018.75","4,830.25",188.5,3.9
Vardhman Text,270.80,254.40,266.00,256.05,9.95,3.89
Praj Industries,331.35,317.15,328.35,316.75,11.6,3.66
Radico Khaitan,827.00,784.90,815.80,787.05,28.75,3.65
Jamna Auto,112.50,104.05,106.90,103.15,3.75,3.64
AIA Engineering,"2,140.00","2,046.20","2,114.10","2,045.05",69.05,3.38
Sunteck Realty,450.00,433.00,445.30,431.20,14.1,3.27
TML-D,204.50,199.60,203.95,197.60,6.35,3.21
Bharat Dynamics,814.00,783.20,807.65,782.65,25,3.19
Shyam Metalics,324.30,310.00,320.00,310.20,9.8,3.16
Asahi India,447.00,430.90,444.40,430.90,13.5,3.13
Polycab,"2,228.00","2,154.00","2,218.60","2,151.50",67.1,3.12
Blue Star,979.00,933.05,965.05,935.95,29.1,3.11
Chambal Fert,321.30,308.80,319.95,310.45,9.5,3.06
Prestige Estate,429.90,408.85,420.05,408.95,11.1,2.71
CenturyPlyboard,539.70,515.00,533.30,519.45,13.85,2.67
Aegis Logistics,232.00,222.60,228.85,222.95,5.9,2.65
TeamLease Ser.,"3,130.00","2,952.00","3,085.05","3,006.15",78.9,2.62
Indian Hotels,222.85,217.00,222.05,216.40,5.65,2.61
M&M Financial,178.25,172.35,177.55,173.05,4.5,2.6
Lakshmi Machine,"8,995.00","8,704.95","8,917.65","8,697.35",220.3,2.53
Ramco Cements,610.00,589.50,606.40,591.65,14.75,2.49
CESC,77.50,74.80,76.70,74.85,1.85,2.47
Motilal Oswal,798.00,768.10,786.55,767.60,18.95,2.47
Page Industries,"41,700.00","40,300.10","40,971.95","39,999.75",972.2,2.43
Network 18,76.50,73.50,74.60,72.85,1.75,2.4
Trent,"1,108.00","1,065.75","1,094.90","1,069.45",25.45,2.38
PCBL,105.80,100.75,103.45,101.05,2.4,2.38
Privi Special,"1,200.00","1,155.00","1,186.90","1,159.40",27.5,2.37
INDUS TOWERS,207.15,197.70,206.15,201.40,4.75,2.36
KPIT Tech,485.00,473.00,481.25,470.35,10.9,2.32
Chola Invest.,636.00,617.30,633.15,618.85,14.3,2.31
Hatsun Agro,903.55,869.40,885.85,866.05,19.8,2.29
Easy Trip,387.90,368.00,377.10,368.70,8.4,2.28
NESCO,545.90,532.00,543.00,530.90,12.1,2.28
Sun Pharma Adv,206.10,199.05,204.40,199.95,4.45,2.23
Tata Motors,416.40,407.45,414.10,405.15,8.95,2.21
Navin Fluorine,"3,608.60","3,508.05","3,594.25","3,516.85",77.4,2.2
Century,794.40,762.60,777.85,761.20,16.65,2.19
HFCL,62.45,60.05,61.25,59.95,1.3,2.17
Suprajit Eng,312.00,304.70,310.60,304.00,6.6,2.17
Mahindra CIE,202.90,194.45,199.65,195.50,4.15,2.12
IWML,"1,490.00","1,447.00","1,468.70","1,438.55",30.15,2.1
Syngene Intl,562.00,543.25,557.55,546.10,11.45,2.1
PI Industries,"2,608.00","2,532.10","2,594.05","2,541.10",52.95,2.08
Balkrishna Ind,"2,175.00","2,115.90","2,155.85","2,112.35",43.5,2.06
Bajaj Finance,"5,499.90","5,396.15","5,484.95","5,375.75",109.2,2.03
Shriram City,"1,663.80","1,608.70","1,647.75","1,615.15",32.6,2.02
ICICI Securitie,459.25,441.50,454.80,445.95,8.85,1.98
Deepak Nitrite,"1,861.45","1,826.55","1,852.15","1,816.65",35.5,1.95
