company_name,high,low,last_price,prev_close,change,percent_gain
Quess Corp,656.80,592.95,648.25,599.65,48.6,8.1
Hitachi Energy,"3,125.00","2,932.90","3,105.35","2,913.00",192.35,6.6
KRBL,199.00,188.05,196.20,186.70,9.5,5.09
Elgi Equipments,404.00,377.45,393.60,375.30,18.3,4.88
SOLARA ACTIVE P,784.00,743.10,769.20,736.00,33.2,4.51
Ratnamani Metal,"2,228.00","2,100.55","2,208.35","2,113.25",95.1,4.5
Balmer Lawrie,132.00,123.40,127.60,122.45,5.15,4.21
Aster DM Health,191.45,180.65,189.85,182.25,7.6,4.17
MOIL,178.45,169.25,176.75,169.70,7.05,4.15
Edelweiss,64.00,60.45,63.35,60.95,2.4,3.94
India Cements,217.50,203.30,212.45,205.20,7.25,3.53
Dish TV,16.70,15.50,16.25,15.70,0.55,3.5
Thermax,"1,905.00","1,785.80","1,867.55","1,805.85",61.7,3.42
PNB Housing Fin,454.00,427.00,450.25,435.50,14.75,3.39
Schaeffler Ind,"1,900.00","1,755.75","1,844.35","1,786.25",58.1,3.25
Zydus Wellness,"1,571.40","1,477.35","1,548.40","1,506.65",41.75,2.77
Torrent Pharma,"2,674.90","2,570.45","2,663.95","2,592.45",71.5,2.76
Chalet Hotels,254.90,242.05,251.85,245.20,6.65,2.71
Voltas,"1,258.00","1,213.85","1,252.50","1,219.45",33.05,2.71
Orient Electric,350.00,332.05,344.70,335.65,9.05,2.7
Coal India,168.25,162.60,167.30,163.05,4.25,2.61
Varun Beverages,959.90,925.75,953.80,930.65,23.15,2.49
Gujarat Pipavav,94.50,91.00,93.35,91.20,2.15,2.36
SBI Life Insura,"1,160.90","1,111.35","1,150.50","1,126.35",24.15,2.14
Sharda Crop,574.55,540.55,561.05,549.80,11.25,2.05
Heidelberg Cem,209.40,199.35,204.40,200.60,3.8,1.89
Timken,"2,019.95","1,916.05","1,965.30","1,928.80",36.5,1.89
Berger Paints,739.55,720.10,737.80,725.60,12.2,1.68
SKF India,"3,524.75","3,411.10","3,483.85","3,426.90",56.95,1.66
Ipca Labs,986.20,954.35,979.85,965.05,14.8,1.53
KSB Pumps,"1,111.55","1,062.00","1,077.10","1,061.05",16.05,1.51
Karur Vysya,52.60,50.90,51.90,51.15,0.75,1.47
Raymond,754.90,720.00,735.90,725.30,10.6,1.46
ICICI Prudentia,529.75,512.25,525.20,517.90,7.3,1.41
Intellect Desig,699.15,664.05,681.15,672.60,8.55,1.27
HDFC,"2,451.00","2,402.40","2,441.15","2,411.80",29.35,1.22
Bajaj Consumer ,173.95,170.00,172.90,170.85,2.05,1.2
Carborundum,878.90,852.10,871.10,860.95,10.15,1.18
IWML,"1,622.65","1,560.00","1,603.45","1,585.55",17.9,1.13
Muthoot Finance,"1,338.05","1,294.05","1,324.05","1,309.90",14.15,1.08
Sheela Foam,"3,274.00","3,185.75","3,251.50","3,217.45",34.05,1.06
Emami,504.90,494.60,502.10,497.00,5.1,1.03
Gujarat Gas,668.70,651.55,664.05,657.30,6.75,1.03
Prince Pipes,674.25,655.70,669.15,662.55,6.6,1
Bajaj Auto,"3,642.50","3,563.60","3,632.15","3,597.30",34.85,0.97
Vardhman Text,"2,614.70","2,545.00","2,591.55","2,566.75",24.8,0.97
CESC,80.40,78.55,79.85,79.10,0.75,0.95
Vodafone Idea,11.00,10.50,10.65,10.55,0.1,0.95
Galaxy Surfacta,"3,000.00","2,914.50","2,955.80","2,928.25",27.55,0.94
CRISIL,"2,922.20","2,816.00","2,869.25","2,844.20",25.05,0.88
Motilal Oswal,939.00,914.50,933.50,925.55,7.95,0.86
Blue Dart,"6,575.10","6,370.05","6,477.15","6,423.70",53.45,0.83
Thyrocare Techn,893.45,867.00,889.95,883.05,6.9,0.78
Larsen,"1,896.00","1,865.15","1,883.10","1,868.70",14.4,0.77
GAIL,141.40,138.35,140.85,139.80,1.05,0.75
KNR Construct,315.00,307.55,313.15,310.85,2.3,0.74
Ashoka Buildcon,98.60,95.00,97.05,96.35,0.7,0.73
Yes Bank,14.10,13.80,13.90,13.80,0.1,0.72
IIFL Finance,323.20,315.50,319.30,317.05,2.25,0.71
SIS,506.55,490.15,499.45,496.10,3.35,0.68
Bank of India,53.10,51.75,52.55,52.20,0.35,0.67
Grasim,"1,739.90","1,698.00","1,722.75","1,711.25",11.5,0.67
JSW Energy,343.70,327.00,340.10,337.85,2.25,0.67
Bata India,"1,928.00","1,885.15","1,920.50","1,908.20",12.3,0.64
Tata Elxsi,"7,039.00","6,860.30","6,985.50","6,941.25",44.25,0.64
Greaves Cotton,189.50,180.65,183.15,182.00,1.15,0.63
GE Shipping,318.25,311.95,317.00,315.00,2,0.63
Varroc Engineer,381.90,371.35,376.15,373.85,2.3,0.62
Procter&Gamble,"4,720.00","4,568.15","4,675.80","4,647.95",27.85,0.6
Axis Bank,790.55,779.00,787.40,782.80,4.6,0.59
Swan Energy,165.00,160.25,163.40,162.45,0.95,0.58
Fine Organics,"4,023.00","3,918.60","3,993.00","3,971.05",21.95,0.55
Rallis India,250.50,245.15,247.30,245.95,1.35,0.55
Dr Lal PathLab,"2,740.00","2,674.15","2,729.55","2,714.95",14.6,0.54
TV18 Broadcast,67.90,65.10,66.00,65.65,0.35,0.53
Polyplex Corp,"2,017.00","1,951.00","1,985.30","1,975.10",10.2,0.52
Britannia,"3,495.00","3,444.15","3,481.65","3,464.10",17.55,0.51
Kotak Mahindra,"1,831.00","1,805.85","1,826.55","1,817.30",9.25,0.51
Laurus Labs,557.00,547.10,552.05,549.30,2.75,0.5
ABB India,"2,079.05","2,030.00","2,065.65","2,055.90",9.75,0.47
Dr Reddys Labs,"4,343.00","4,264.60","4,321.15","4,301.00",20.15,0.47
SBI,520.90,510.10,515.30,512.95,2.35,0.46
MphasiS,"3,043.35","2,952.00","3,021.95","3,009.55",12.4,0.41
Atul,"9,320.00","9,117.25","9,217.60","9,181.45",36.15,0.39
HDFC Bank,"1,517.00","1,490.45","1,512.35","1,506.50",5.85,0.39
Eris Life,707.85,692.50,702.55,699.90,2.65,0.38
Narayana Hruda,664.95,651.55,656.60,654.20,2.4,0.37
Westlife Dev,470.75,457.00,463.95,462.35,1.6,0.35
Avanti Feeds,545.00,538.05,543.20,541.40,1.8,0.33
Radico Khaitan,986.00,953.70,972.75,969.65,3.1,0.32
VST,"3,060.00","3,000.45","3,021.65","3,012.00",9.65,0.32
Adani Enterpris,"1,754.60","1,725.00","1,736.30","1,730.95",5.35,0.31
Coromandel Int,814.10,791.00,803.65,801.15,2.5,0.31
Siemens,"2,505.00","2,438.00","2,457.40","2,449.75",7.65,0.31
IEX,221.30,216.10,217.55,216.90,0.65,0.3
Guj Amb Exports,191.95,184.00,186.20,185.70,0.5,0.27
TCS,"3,815.95","3,757.60","3,793.90","3,784.20",9.7,0.26
L&T Technology,"4,499.40","4,325.00","4,444.95","4,434.80",10.15,0.23
HUL,"2,327.80","2,294.00","2,312.55","2,307.55",5,0.22
Hind Zinc,319.50,316.00,317.25,316.55,0.7,0.22
Escorts,"1,862.00","1,852.10","1,860.25","1,856.70",3.55,0.19
Hatsun Agro,"1,140.95","1,098.30","1,112.65","1,110.55",2.1,0.19
Maruti Suzuki,"8,645.95","8,520.05","8,569.10","8,552.45",16.65,0.19
UTI AMC,836.40,822.25,828.50,826.95,1.55,0.19
HCL Tech,"1,170.10","1,150.10","1,165.00","1,163.05",1.95,0.17
Indian Bank,153.30,150.10,152.05,151.80,0.25,0.16
GlaxoSmithKline,"1,576.95","1,547.95","1,567.60","1,565.35",2.25,0.14
Jyothy Labs,141.80,137.55,138.20,138.00,0.2,0.14
Symphony,"1,005.00",983.00,984.65,983.35,1.3,0.13
Capri Global,597.00,590.10,591.25,590.60,0.65,0.11
Endurance Techn,"1,408.05","1,373.05","1,388.95","1,387.70",1.25,0.09
JK Paper,239.95,234.00,237.35,237.20,0.15,0.06
EPL,168.50,163.00,166.90,166.80,0.1,0.06
Sanofi India,"7,315.00","7,248.25","7,299.85","7,295.25",4.6,0.06
Torrent Power,492.90,477.95,479.50,479.20,0.3,0.06
Bajaj Holdings,"5,380.00","5,190.00","5,363.30","5,361.20",2.1,0.04
BPCL,375.95,371.45,373.15,373.00,0.15,0.04
MRF,"66,263.30","65,210.30","65,638.95","65,615.75",23.2,0.04
Suven Pharma,555.00,536.05,551.25,551.05,0.2,0.04
Sun Pharma,867.90,856.40,862.90,862.55,0.35,0.04
Cochin Shipyard,314.00,311.55,313.00,312.95,0.05,0.02
Dhanuka Agritec,738.20,721.25,723.50,723.35,0.15,0.02
