company_name,high,low,last_price,prev_close,change,percent_gain
Timken,"2,730.00","2,282.65","2,672.30","2,280.15",392.15,17.2
Sundaram Fin,"1,919.00","1,630.00","1,829.60","1,626.45",203.15,12.49
Shree Renuka,53.15,47.30,52.30,46.90,5.40,11.51
RHI Magnesita,608.95,542.05,595.15,536.65,58.50,10.9
Rattanindia Ent,54.15,50.20,54.15,49.25,4.90,9.95
Suzlon Energy,9.40,8.75,9.40,8.55,0.85,9.94
Happiest Minds ,"1,023.90",910.00,991.10,905.10,86.00,9.5
Elgi Equipments,380.00,344.60,377.00,344.35,32.65,9.48
Polyplex Corp,"2,623.90","2,360.05","2,549.60","2,367.65",181.95,7.68
Hemisphere,113.20,103.55,110.30,102.80,7.50,7.3
Chalet Hotels,319.80,296.05,316.45,297.05,19.40,6.53
Garware Technic,"3,180.00","2,980.40","3,157.55","2,972.30",185.25,6.23
TTK Prestige,889.00,836.20,882.30,831.95,50.35,6.05
Dilip Buildcon,246.85,228.50,241.70,227.95,13.75,6.03
Go Fashion,"1,045.00",998.00,"1,038.35",985.20,53.15,5.39
Fine Organics,"5,244.00","4,901.10","5,126.35","4,868.75",257.60,5.29
APL Apollo,990.00,938.55,985.30,937.20,48.10,5.13
Restaurant Bran,104.30,96.70,102.15,97.20,4.95,5.09
Torrent Power,481.50,454.50,479.25,456.05,23.20,5.09
3M India,"21,450.00","20,200.00","21,213.80","20,193.80","1,020.00",5.05
ICICI Prudentia,551.95,521.60,547.90,521.60,26.30,5.04
Varun Beverages,"1,120.00","1,052.00","1,109.10","1,056.50",52.60,4.98
eClerx Services,"2,180.35","1,991.00","2,133.60","2,032.70",100.90,4.96
KEI Industries,"1,341.50","1,232.70","1,297.25","1,236.30",60.95,4.93
Bharat Elec,247.70,234.75,246.10,234.75,11.35,4.83
Allcargo,337.50,318.50,334.90,319.75,15.15,4.74
Astral Ltd,"1,830.30","1,714.20","1,810.30","1,729.95",80.35,4.64
Jamna Auto,116.05,109.50,115.50,110.40,5.10,4.62
Schaeffler Ind,"2,433.55","2,281.10","2,401.05","2,300.60",100.45,4.37
VIP Industries,615.50,579.85,604.85,579.90,24.95,4.3
CRISIL,"3,573.70","3,407.00","3,549.90","3,406.55",143.35,4.21
Prestige Estate,452.00,431.00,446.75,429.15,17.60,4.1
General Insuran,129.00,119.65,124.25,119.50,4.75,3.97
HFCL,66.00,63.65,65.40,62.95,2.45,3.89
Star Health,719.00,685.15,709.05,682.80,26.25,3.84
Bharat Dynamics,844.70,805.00,813.30,783.65,29.65,3.78
Clean Science,"1,829.90","1,727.05","1,814.75","1,748.65",66.10,3.78
PNC Infratech,263.90,242.65,254.15,245.00,9.15,3.73
TCNS Clothing C,648.00,598.00,618.35,596.25,22.10,3.71
Mahindra Logist,478.80,455.00,476.35,459.40,16.95,3.69
Ajanta Pharma,"1,782.85","1,714.60","1,775.60","1,713.00",62.60,3.65
CAMS,"2,447.80","2,333.00","2,409.10","2,325.70",83.40,3.59
CCL Products,368.50,356.75,365.85,354.10,11.75,3.32
JSW Steel,572.35,549.20,569.50,551.25,18.25,3.31
Macrotech Dev,"1,015.00",968.55,"1,000.20",968.25,31.95,3.3
Nuvoco Vistas,315.00,298.55,311.25,301.50,9.75,3.23
Vijaya Diagnost,384.45,365.20,374.90,363.20,11.70,3.22
Rail Vikas,34.00,33.15,33.40,32.40,1.00,3.09
Fert and Chem,130.00,124.40,128.15,124.40,3.75,3.01
Hind Zinc,311.65,303.05,310.00,300.95,9.05,3.01
Supreme Ind,"1,904.10","1,817.00","1,892.45","1,837.10",55.35,3.01
Hindustan Aeron,"1,928.70","1,840.00","1,893.35","1,838.30",55.05,2.99
Aarti Drugs,440.40,426.45,438.10,425.55,12.55,2.95
Voltas,"1,053.90","1,008.60","1,048.05","1,018.05",30.00,2.95
Natco Pharma,729.50,686.50,710.80,690.95,19.85,2.87
Borosil Renew,688.95,662.05,675.45,656.80,18.65,2.84
Prism Johnson,115.00,107.95,111.00,107.95,3.05,2.83
AU Small Financ,"1,295.15","1,259.75","1,286.25","1,251.35",34.90,2.79
Jubilant Pharmo,405.00,387.50,394.95,384.25,10.70,2.78
Oil India,251.00,239.25,244.85,238.45,6.40,2.68
Tata Elxsi,"8,821.95","8,525.60","8,606.00","8,381.10",224.90,2.68
Welspun India,67.50,65.70,67.10,65.35,1.75,2.68
Sona BLW,574.95,554.00,571.90,557.40,14.50,2.6
Tanla Platforms,"1,379.90","1,328.50","1,362.85","1,328.50",34.35,2.59
KPIT Tech,550.00,531.00,543.70,530.30,13.40,2.53
Mazagon Dock,289.35,278.50,283.75,276.75,7.00,2.53
Jyothy Labs,154.35,149.05,152.75,149.00,3.75,2.52
PCBL,108.95,105.45,108.20,105.55,2.65,2.51
Linde India,"3,141.00","2,970.05","3,066.65","2,993.00",73.65,2.46
Wockhardt,268.00,258.00,264.75,258.55,6.20,2.4
Dr Lal PathLab,"2,149.00","2,075.00","2,134.55","2,084.70",49.85,2.39
Union Bank,39.00,37.75,38.75,37.85,0.90,2.38
Fortis Health,246.05,239.00,243.70,238.05,5.65,2.37
Blue Dart,"7,723.90","7,462.90","7,666.95","7,490.00",176.95,2.36
GSFC,173.40,168.10,170.55,166.70,3.85,2.31
New India Assur,105.80,102.05,103.65,101.35,2.30,2.27
Birla Corp,"1,016.05",979.00,996.25,974.50,21.75,2.23
