company_name,high,low,last_price,prev_close,change,percent_gain
Shree Renuka,59.90,54.55,59.35,54.35,5,9.2
Aster DM Health,254.80,231.50,250.65,230.60,20.05,8.69
Kalyan Jeweller,97.70,86.80,96.70,89.25,7.45,8.35
GE Shipping,528.00,487.55,524.35,490.45,33.9,6.91
IGL,425.00,398.00,422.95,395.80,27.15,6.86
Mahanagar Gas,857.80,798.15,851.35,798.15,53.2,6.67
Allcargo,399.00,368.60,389.50,366.85,22.65,6.17
Gujarat Gas,519.90,490.00,516.65,487.20,29.45,6.04
Muthoot Finance,"1,034.00",961.10,"1,012.05",956.20,55.85,5.84
Vardhman Text,347.90,324.45,342.40,324.20,18.2,5.61
RITES,305.55,292.00,304.00,289.90,14.1,4.86
Tata Inv Corp,"2,428.00","2,300.05","2,395.05","2,286.45",108.6,4.75
Kalpataru Power,439.00,400.80,425.20,406.05,19.15,4.72
Info Edge,"3,905.65","3,715.00","3,877.15","3,705.85",171.3,4.62
Mazagon Dock,445.95,412.65,439.00,419.60,19.4,4.62
IWML,"1,800.00","1,712.40","1,792.95","1,715.95",77,4.49
Solar Ind,"3,680.00","3,421.00","3,595.40","3,441.85",153.55,4.46
Easy Trip,381.40,363.90,378.40,363.40,15,4.13
Caplin Labs,743.45,702.65,731.45,702.60,28.85,4.11
Kajaria Ceramic,"1,242.90","1,180.65","1,232.50","1,187.30",45.2,3.81
Restaurant Bran,126.70,121.80,126.25,121.65,4.6,3.78
Asahi India,598.70,575.00,595.05,573.75,21.3,3.71
Mindtree,"3,264.35","3,117.80","3,248.00","3,136.00",112,3.57
PCBL,131.95,126.00,130.75,126.25,4.5,3.56
Welspun Corp,278.30,257.00,274.70,265.25,9.45,3.56
SIS,419.10,401.80,416.10,401.85,14.25,3.55
Indian Hotels,330.40,313.70,327.50,316.30,11.2,3.54
Guj State Petro,232.85,224.15,230.20,222.35,7.85,3.53
GMM Pfaudler,"1,910.00","1,842.60","1,902.80","1,838.15",64.65,3.52
