company_name,high,low,last_price,prev_close,change,percent_gain
KRBL,372.55,320.90,365.05,320.85,44.2,13.78
Vakrangee,45.70,40.95,45.30,40.30,5,12.41
PB Fintech,575.00,508.00,565.05,505.05,60,11.88
Tata Inv Corp,"2,255.00","1,972.00","2,184.45","1,959.65",224.8,11.47
Allcargo,417.65,376.10,415.00,378.75,36.25,9.57
PNB Housing Fin,405.00,373.30,402.50,372.15,30.35,8.16
Laxmi Organic,384.70,349.00,375.20,347.65,27.55,7.92
Relaxo Footwear,"1,107.00","1,010.80","1,086.20","1,009.50",76.7,7.6
Hikal,364.70,341.15,361.15,340.65,20.5,6.02
Edelweiss,72.00,67.85,71.50,67.75,3.75,5.54
Kajaria Ceramic,"1,198.00","1,137.00","1,193.50","1,133.10",60.4,5.33
Motilal Oswal,823.85,771.10,811.00,771.55,39.45,5.11
Rallis India,240.60,228.55,239.20,228.00,11.2,4.91
JB Chemicals,"1,989.00","1,857.60","1,964.30","1,873.75",90.55,4.83
Zomato,66.60,62.80,65.45,62.55,2.9,4.64
Trent,"1,470.00","1,405.00","1,460.35","1,400.30",60.05,4.29
L&T Finance,85.80,80.70,84.00,80.65,3.35,4.15
Rossari,"1,030.60",985.05,"1,025.15",987.55,37.6,3.81
Karur Vysya,78.50,74.75,77.90,75.10,2.8,3.73
SRF,"2,848.90","2,728.10","2,826.05","2,727.20",98.85,3.62
Natco Pharma,628.00,604.00,624.25,602.55,21.7,3.6
Deepak Nitrite,"2,295.00","2,189.00","2,256.50","2,178.40",78.1,3.59
GMM Pfaudler,"2,020.00","1,915.20","1,975.00","1,906.90",68.1,3.57
eClerx Services,"2,370.00","2,275.70","2,310.25","2,231.05",79.2,3.55
Sterlite Techno,179.20,169.10,174.30,168.40,5.9,3.5
Sona BLW,548.40,526.55,544.10,525.75,18.35,3.49
Polycab,"2,659.00","2,550.00","2,638.50","2,549.70",88.8,3.48
Godfrey Phillip,"1,177.90","1,134.00","1,172.90","1,134.55",38.35,3.38
Alkyl Amines,"3,149.00","3,035.00","3,132.25","3,030.50",101.75,3.36
Bandhan Bank,299.45,285.35,298.15,288.60,9.55,3.31
Gland,"2,456.35","2,363.00","2,437.65","2,361.40",76.25,3.23
GE Shipping,531.80,517.25,529.95,513.80,16.15,3.14
IIFL Finance,349.35,335.60,347.15,336.80,10.35,3.07
ZFCVINDIA,"10,424.00","10,116.00","10,394.65","10,086.30",308.35,3.06
Brightcom Group,42.15,40.45,41.70,40.50,1.2,2.96
Siemens,"3,065.90","2,959.20","3,052.55","2,965.00",87.55,2.95
GMR Infra,40.65,39.35,40.45,39.30,1.15,2.93
ACC,"2,592.95","2,510.10","2,572.80","2,500.85",71.95,2.88
TATA Cons. Prod,852.00,829.70,849.00,825.50,23.5,2.85
MMTC Ltd,38.45,37.25,38.05,37.00,1.05,2.84
Welspun India,85.65,83.00,84.50,82.20,2.3,2.8
CHEMPLAST SANMA,437.40,420.45,431.30,419.65,11.65,2.78
Adani Enterpris,"3,568.90","3,421.30","3,555.80","3,463.80",92,2.66
Vedanta,279.50,272.60,277.55,270.35,7.2,2.66
