company_name,high,low,last_price,prev_close,change,percent_gain
IndusInd Bank,"1,034.00",998.20,"1,029.50",997.70,31.8,3.19
Adani Ports,719.90,691.45,710.70,693.55,17.15,2.47
IOC,106.25,103.80,105.90,103.95,1.95,1.88
TATA Cons. Prod,798.35,772.00,781.35,768.35,13,1.69
Bharti Airtel,616.95,588.50,607.90,598.70,9.2,1.54
SBI Life Insura,"1,154.25","1,127.45","1,150.70","1,134.75",15.95,1.41
Tech Mahindra,"1,273.00","1,243.05","1,264.60","1,248.20",16.4,1.31
Maruti Suzuki,"7,168.50","7,042.55","7,100.80","7,027.55",73.25,1.04
NTPC,118.70,116.45,117.65,116.50,1.15,0.99
TCS,"3,324.00","3,265.00","3,309.80","3,283.95",25.85,0.79
Bajaj Auto,"3,872.35","3,797.25","3,847.85","3,818.75",29.1,0.76
HUL,"2,380.75","2,357.50","2,371.50","2,357.70",13.8,0.59
HDFC Life,675.50,669.00,673.40,669.50,3.9,0.58
Eicher Motors,"2,759.35","2,734.70","2,747.35","2,732.15",15.2,0.56
HDFC Bank,"1,500.00","1,474.00","1,492.65","1,484.85",7.8,0.53
Hero Motocorp,"2,851.05","2,811.70","2,833.80","2,818.80",15,0.53
BPCL,463.00,454.00,455.60,453.50,2.1,0.46
Coal India,148.45,145.25,146.10,145.45,0.65,0.45
Kotak Mahindra,"1,784.70","1,756.15","1,777.20","1,771.75",5.45,0.31
Tata Motors,303.40,297.65,300.05,299.70,0.35,0.12
Bajaj Finserv,"14,108.70","13,975.00","14,005.65","13,994.90",10.75,0.08
Dr Reddys Labs,"4,806.25","4,756.30","4,786.30","4,782.30",4,0.08
UPL,791.70,775.60,777.30,777.25,0.05,0.01
