company_name,high,low,last_price,prev_close,change,percent_gain
CDSL,"1,297.30","1,123.10","1,257.45","1,123.05",134.40,11.97
Rattanindia Ent,49.25,46.80,49.25,44.80,4.45,9.93
BSE Limited,757.90,688.85,755.85,689.00,66.85,9.7
Info Edge,"4,185.65","3,775.05","4,164.40","3,805.15",359.25,9.44
CAMS,"2,357.95","2,130.20","2,325.70","2,126.95",198.75,9.34
Route,"1,409.00","1,245.50","1,392.30","1,274.50",117.80,9.24
AIA Engineering,"2,350.00","2,082.60","2,277.75","2,101.70",176.05,8.38
Fine Organics,"5,043.90","4,450.00","4,868.75","4,507.70",361.05,8.01
Suzlon Energy,8.70,7.40,8.55,7.95,0.60,7.55
Century,814.00,736.05,797.85,742.50,55.35,7.45
CenturyPlyboard,588.95,534.45,573.95,536.65,37.30,6.95
Mastek,"2,690.00","2,450.00","2,663.00","2,496.55",166.45,6.67
FSN E-Co Nykaa,"1,506.80","1,382.45","1,494.55","1,401.45",93.10,6.64
Piramal Enter,"1,908.55","1,734.75","1,894.95","1,777.35",117.60,6.62
KNR Construct,270.00,255.00,260.00,244.05,15.95,6.54
Poly Medicure,757.00,705.05,749.80,704.95,44.85,6.36
Oil India,240.60,226.70,238.45,224.85,13.60,6.05
GSFC,168.90,156.05,166.70,157.35,9.35,5.94
Sundram,797.20,739.95,780.10,736.55,43.55,5.91
MCX India,"1,392.00","1,290.00","1,371.65","1,295.50",76.15,5.88
Borosil Renew,668.00,615.90,656.80,620.50,36.30,5.85
Balaji Amines,"3,276.95","3,000.00","3,214.00","3,038.50",175.50,5.78
APL Apollo,970.00,887.00,937.20,886.20,51.00,5.75
Timken,"2,332.95","2,130.00","2,280.15","2,156.75",123.40,5.72
Hitachi Energy,"3,595.95","3,358.50","3,529.95","3,340.90",189.05,5.66
Shree Renuka,47.70,43.80,46.90,44.45,2.45,5.51
SUMITOMO,475.00,440.05,463.50,440.00,23.50,5.34
CreditAccess Gr,"1,129.30","1,004.40","1,071.50","1,019.80",51.70,5.07
IIFL Finance,329.80,304.30,321.30,305.80,15.50,5.07
Zomato,77.70,67.40,74.65,71.05,3.60,5.07
ONGC,153.00,145.40,151.25,144.05,7.20,5
Bharat Dynamics,793.90,731.85,783.65,746.50,37.15,4.98
Indiabulls Real,76.10,71.30,75.15,71.70,3.45,4.81
Avenue Supermar,"4,049.00","3,767.90","3,972.80","3,796.40",176.40,4.65
Sunteck Realty,459.50,421.65,452.50,432.50,20.00,4.62
