company_name,high,low,last_price,prev_close,change,percent_gain
Zomato,67.60,57.90,64.95,57.05,7.90,13.85
Shilpa,471.00,435.15,452.95,409.95,43.00,10.49
Hikal,409.00,371.25,392.00,366.60,25.40,6.93
Tanla Platforms,"1,310.00","1,217.00","1,300.40","1,216.75",83.65,6.87
Bajaj Electric,998.00,939.55,991.45,938.55,52.90,5.64
Brightcom Group,61.85,61.00,61.85,58.95,2.90,4.92
Coromandel Int,977.50,933.10,973.05,931.50,41.55,4.46
One 97 Paytm,651.70,611.00,646.45,619.35,27.10,4.38
Ashok Leyland,142.00,137.00,141.20,135.80,5.40,3.98
Century,749.90,720.90,744.00,717.15,26.85,3.74
Quess Corp,680.00,635.15,664.75,641.85,22.90,3.57
Advanced Enzyme,288.55,268.00,279.95,271.05,8.90,3.28
Sterlite Techno,180.45,170.90,175.00,169.55,5.45,3.21
APTUS VALUE,316.00,303.60,313.25,303.60,9.65,3.18
Blue Dart,"7,238.65","6,863.80","7,162.95","6,957.90",205.05,2.95
Varun Beverages,"1,124.00","1,082.75","1,109.05","1,079.05",30.00,2.78
APL Apollo,930.00,892.00,907.50,883.80,23.70,2.68
Asahi India,459.00,438.00,456.70,445.15,11.55,2.59
Abbott India,"18,285.00","17,427.40","18,197.45","17,737.70",459.75,2.59
SKF India,"3,425.00","3,173.55","3,257.35","3,177.40",79.95,2.52
GE Shipping,437.80,414.10,427.30,417.40,9.90,2.37
Phoenix Mills,"1,138.45","1,083.65","1,128.60","1,103.00",25.60,2.32
Avenue Supermar,"3,685.00","3,571.20","3,656.75","3,574.10",82.65,2.31
NHPC,33.40,32.00,33.15,32.40,0.75,2.31
JK Paper,359.50,343.00,348.25,340.50,7.75,2.28
Timken,"2,004.60","1,942.40","1,984.05","1,940.05",44.00,2.27
CRISIL,"3,750.60","3,575.00","3,723.10","3,645.60",77.50,2.13
Sona BLW,554.45,540.70,550.55,539.05,11.50,2.13
TML-D,206.30,198.30,204.45,200.45,4.00,2
HPCL,243.90,238.10,242.05,237.50,4.55,1.92
TVS Motor,712.50,692.35,708.85,695.90,12.95,1.86
Bank of India,48.40,46.00,47.15,46.30,0.85,1.84
