company_name,high,low,last_price,prev_close,change,percent_gain
HDFC,"2,853.65","2,749.95","2,837.00","2,765.30",71.7,2.59
Bharti Airtel,680.50,648.00,670.55,654.60,15.95,2.44
Grasim,"1,557.90","1,514.75","1,554.45","1,531.00",23.45,1.53
ITC,214.35,210.15,211.75,209.30,2.45,1.17
IndusInd Bank,"1,012.00",984.15,"1,001.25",991.95,9.3,0.94
UltraTechCement,"8,060.00","7,911.50","8,026.25","7,952.60",73.65,0.93
Nestle,"20,392.70","20,166.15","20,368.45","20,223.20",145.25,0.72
Titan Company,"2,039.90","2,012.70","2,033.90","2,020.65",13.25,0.66
Reliance,"2,458.00","2,412.00","2,440.90","2,425.60",15.3,0.63
Asian Paints,"3,394.60","3,323.85","3,336.25","3,315.55",20.7,0.62
Coal India,148.10,145.55,147.20,146.35,0.85,0.58
Maruti Suzuki,"6,929.90","6,853.70","6,877.15","6,846.90",30.25,0.44
Britannia,"4,129.60","4,080.00","4,095.45","4,079.05",16.4,0.4
Shree Cements,"30,872.95","30,260.15","30,653.60","30,535.55",118.05,0.39
HDFC Bank,"1,582.00","1,555.20","1,569.25","1,565.70",3.55,0.23
IOC,112.45,110.70,111.85,111.60,0.25,0.22
Bajaj Finserv,"16,944.70","16,630.95","16,781.20","16,747.00",34.2,0.2
Divis Labs,"5,234.95","5,180.00","5,210.10","5,205.10",5,0.1
Cipla,957.30,944.05,950.50,950.20,0.3,0.03
