company_name,high,low,last_price,prev_close,change,percent_gain
JSW Steel,672.00,628.70,668.95,633.20,35.75,5.65
ONGC,136.00,129.10,135.20,128.50,6.7,5.21
Bajaj Finance,"7,847.10","7,401.00","7,813.85","7,442.45",371.4,4.99
IndusInd Bank,"1,143.15","1,085.00","1,137.55","1,089.95",47.6,4.37
Bajaj Finserv,"17,655.00","16,814.05","17,587.25","17,018.95",568.3,3.34
ITC,242.45,231.70,241.50,233.75,7.75,3.32
Tata Steel,"1,296.90","1,232.90","1,292.20","1,253.10",39.1,3.12
UPL,727.90,700.00,721.85,705.60,16.25,2.3
Tech Mahindra,"1,466.45","1,420.40","1,461.70","1,431.30",30.4,2.12
Cipla,959.00,933.00,956.10,938.10,18,1.92
HCL Tech,"1,315.00","1,277.00","1,299.50","1,276.15",23.35,1.83
Infosys,"1,726.75","1,684.65","1,718.45","1,687.85",30.6,1.81
Dr Reddys Labs,"4,864.00","4,745.25","4,853.65","4,774.95",78.7,1.65
Hindalco,452.45,438.80,451.00,444.40,6.6,1.49
Eicher Motors,"2,859.90","2,788.80","2,854.40","2,813.00",41.4,1.47
Coal India,158.00,153.45,156.40,154.20,2.2,1.43
Grasim,"1,565.00","1,526.70","1,557.15","1,535.60",21.55,1.4
Divis Labs,"5,188.45","5,080.00","5,179.45","5,110.10",69.35,1.36
HDFC,"2,780.70","2,724.75","2,774.35","2,742.50",31.85,1.16
Asian Paints,"3,335.00","3,271.00","3,309.20","3,271.55",37.65,1.15
NTPC,125.40,122.10,124.10,122.70,1.4,1.14
Sun Pharma,766.35,751.05,764.50,756.50,8,1.06
TCS,"3,871.55","3,821.65","3,862.95","3,823.50",39.45,1.03
Tata Motors,302.70,293.10,301.95,298.95,3,1
Larsen,"1,730.75","1,692.40","1,720.90","1,704.35",16.55,0.97
HDFC Life,737.70,724.25,735.80,730.15,5.65,0.77
Wipro,669.00,657.10,667.60,662.50,5.1,0.77
SBI Life Insura,"1,195.95","1,170.90","1,184.60","1,177.50",7.1,0.6
Kotak Mahindra,"2,027.65","1,996.10","2,010.95","2,001.45",9.5,0.47
HUL,"2,859.30","2,796.65","2,812.45","2,800.35",12.1,0.43
Reliance,"2,416.60","2,384.00","2,404.70","2,394.35",10.35,0.43
Titan Company,"2,097.50","2,062.10","2,085.85","2,077.35",8.5,0.41
IOC,115.65,113.35,115.00,114.60,0.4,0.35
SBI,441.35,432.65,438.80,437.45,1.35,0.31
ICICI Bank,714.50,694.40,711.85,710.00,1.85,0.26
Bharti Airtel,740.75,722.00,726.65,724.95,1.7,0.23
TATA Cons. Prod,864.45,851.00,858.90,857.00,1.9,0.22
UltraTechCement,"7,688.00","7,514.50","7,592.70","7,576.00",16.7,0.22
Adani Ports,758.80,734.05,749.60,748.90,0.7,0.09
M&M,740.90,729.55,738.45,738.05,0.4,0.05
