company_name,high,low,last_price,prev_close,change,percent_gain
IOL Chemicals,377.75,320.00,377.75,314.80,62.95,20
MAS Financial S,649.00,545.25,635.90,547.10,88.80,16.23
Indiabulls Hsg,152.50,136.25,150.30,135.25,15.05,11.13
Venkys,"2,247.00","2,022.00","2,195.95","1,995.90",200.05,10.02
TV18 Broadcast,66.80,61.25,65.80,60.80,5.00,8.22
Shoppers Stop,357.05,332.80,353.40,327.40,26.00,7.94
Dalmia Bharat,"1,475.90","1,362.25","1,465.10","1,362.25",102.85,7.55
Ashok Leyland,107.75,99.85,106.75,99.30,7.45,7.5
DCM Shriram,"1,039.00",972.25,"1,027.15",955.75,71.40,7.47
Dishman Carboge,174.30,161.40,173.80,161.90,11.90,7.35
Dr Lal PathLab,"2,625.00","2,442.50","2,614.70","2,437.85",176.85,7.25
Zensar Tech,364.00,340.25,361.85,337.45,24.40,7.23
Interglobe Avi,"1,754.85","1,658.00","1,709.10","1,598.80",110.30,6.9
Indian Hotels,208.80,196.20,207.30,194.05,13.25,6.83
Dhani Services,76.60,70.70,75.20,70.50,4.70,6.67
Tata Elxsi,"7,060.00","6,580.05","6,993.00","6,572.70",420.30,6.39
TML-D,201.85,188.00,199.35,187.45,11.90,6.35
Varroc Engineer,325.70,305.65,322.90,304.25,18.65,6.13
Trent,"1,155.00","1,070.05","1,143.80","1,078.10",65.70,6.09
SIS,479.55,449.25,473.50,446.80,26.70,5.98
SpiceJet,61.00,58.90,60.50,57.10,3.40,5.95
MMTC Ltd,48.85,45.15,47.80,45.15,2.65,5.87
Zee Entertain,252.30,235.60,250.60,236.70,13.90,5.87
Infibeam Avenue,42.20,38.95,41.75,39.45,2.30,5.83
Cummins,"1,002.20",945.00,"1,000.35",945.45,54.90,5.81
Aster DM Health,175.00,162.45,172.35,163.05,9.30,5.7
Asian Paints,"2,890.00","2,665.05","2,874.95","2,723.40",151.55,5.56
Indiabulls Real,109.70,101.75,107.35,101.75,5.60,5.5
Alok Industries,25.00,23.45,24.55,23.30,1.25,5.36
Welspun Corp,148.90,141.50,148.00,140.50,7.50,5.34
Reliance,"2,367.00","2,234.15","2,354.10","2,235.50",118.60,5.31
Spandana Sphoor,358.00,338.00,348.05,330.70,17.35,5.25
M&M Financial,142.10,134.25,141.05,134.05,7.00,5.22
Swan Energy,172.40,161.35,170.45,162.00,8.45,5.22
BASF,"2,825.60","2,628.35","2,779.75","2,642.35",137.40,5.2
Oberoi Realty,878.35,828.30,875.55,832.45,43.10,5.18
Affle India,"1,234.85","1,161.00","1,217.50","1,158.05",59.45,5.13
Welspun India,103.20,98.50,102.35,97.40,4.95,5.08
Bajaj Finance,"6,525.00","6,121.85","6,472.50","6,161.85",310.65,5.04
Indiamart Inter,"4,315.00","4,104.00","4,286.45","4,081.75",204.70,5.02
Carborundum,789.80,725.00,780.05,742.80,37.25,5.01
Trident,52.50,51.00,52.50,50.00,2.50,5
JSW Energy,313.10,301.00,313.10,298.20,14.90,5
Network 18,77.80,74.60,77.80,74.10,3.70,4.99
Delta Corp,275.00,262.25,273.15,260.20,12.95,4.98
GMR Infra,39.95,38.00,39.65,37.80,1.85,4.89
M&M,739.90,700.00,734.85,700.65,34.20,4.88
RHI Magnesita,529.20,502.65,523.55,499.35,24.20,4.85
Alkyl Amines,"2,985.00","2,822.00","2,954.60","2,818.35",136.25,4.83
IRB Infra,221.65,207.25,221.30,211.10,10.20,4.83
CreditAccess Gr,700.00,659.60,689.05,657.80,31.25,4.75
GE Shipping,343.30,317.50,339.75,324.50,15.25,4.7
NBCC (India),39.40,37.15,38.95,37.20,1.75,4.7
Deepak Nitrite,"1,984.20","1,898.10","1,974.65","1,888.00",86.65,4.59
Jubilant Food,"2,723.00","2,578.50","2,694.75","2,577.35",117.40,4.56
Aditya Birla F,279.75,266.55,278.35,266.30,12.05,4.52
Mahindra Holida,214.90,205.45,213.80,204.70,9.10,4.45
Bharat Elec,225.35,213.20,222.45,213.00,9.45,4.44
Container Corp,596.70,570.10,594.60,569.45,25.15,4.42
Lupin,741.20,712.80,739.40,708.40,31.00,4.38
NCC,63.20,59.75,62.00,59.40,2.60,4.38
Vakrangee,33.05,30.90,32.25,30.90,1.35,4.37
GlaxoSmithKline,"1,569.80","1,492.00","1,556.65","1,492.00",64.65,4.33
Zydus Life,363.00,348.05,359.35,344.50,14.85,4.31
SUMITOMO,392.15,373.25,388.40,372.35,16.05,4.31
Thermax,"1,896.95","1,789.25","1,876.80","1,799.30",77.50,4.31
Aegis Logistics,204.50,190.65,197.20,189.15,8.05,4.26
AU Small Financ,"1,150.00","1,081.60","1,145.10","1,098.35",46.75,4.26
Solar Ind,"2,432.55","2,292.65","2,403.85","2,305.75",98.10,4.25
KPIT Tech,580.00,554.20,577.30,553.80,23.50,4.24
Rail Vikas,32.25,30.90,32.00,30.70,1.30,4.23
Suven Pharma,522.70,496.10,515.30,494.40,20.90,4.23
BSE Limited,"2,219.50","2,139.05","2,208.70","2,120.05",88.65,4.18
Minda Corp,194.35,183.00,190.75,183.10,7.65,4.18
L&T Finance,65.30,62.50,65.00,62.40,2.60,4.17
Nippon,308.80,294.65,306.55,294.35,12.20,4.14
IndusInd Bank,880.00,838.25,875.35,840.70,34.65,4.12
IIFL Finance,300.00,288.10,297.60,285.85,11.75,4.11
KRBL,216.00,204.00,213.10,204.75,8.35,4.08
Sterling Wilson,329.90,315.00,324.45,311.80,12.65,4.06
Chola Invest.,644.70,613.30,640.50,615.55,24.95,4.05
Greaves Cotton,175.70,167.55,173.60,166.85,6.75,4.05
Info Edge,"4,609.95","4,385.00","4,563.70","4,386.10",177.60,4.05
INDUS TOWERS,214.40,202.05,212.25,204.00,8.25,4.04
Vodafone Idea,10.40,9.95,10.30,9.90,0.40,4.04
IEX,224.00,216.10,222.80,214.20,8.60,4.01
P and G,"15,179.00","14,210.10","14,752.30","14,184.95",567.35,4
Sun TV Network,467.35,445.50,462.80,445.05,17.75,3.99
Linde India,"2,785.00","2,662.30","2,752.40","2,647.25",105.15,3.97
Finolex Ind,154.45,146.55,153.20,147.35,5.85,3.97
Muthoot Finance,"1,440.00","1,383.85","1,425.50","1,371.55",53.95,3.93
Bajaj Finserv,"15,199.55","14,400.00","15,015.20","14,450.70",564.50,3.91
ITI,97.50,93.85,97.00,93.35,3.65,3.91
JK Tyre & Ind,109.45,104.50,107.95,103.90,4.05,3.9
United Brewerie,"1,414.25","1,324.00","1,399.65","1,347.60",52.05,3.86
Rashtriya Chem,76.60,72.80,75.85,73.05,2.80,3.83
Laurus Labs,560.00,537.00,555.55,535.10,20.45,3.82
TVS Motor,558.95,535.05,555.45,535.15,20.30,3.79
