company_name,high,low,last_price,prev_close,change,percent_gain
Avenue Supermar,"4,414.00","4,290.45","4,400.50","4,322.70",77.80,1.8
Westlife Dev,542.00,530.35,538.45,528.95,9.50,1.8
Cera Sanitary,"5,049.90","4,919.25","5,011.30","4,923.60",87.70,1.78
GMM Pfaudler,"5,120.00","4,981.45","5,076.85","4,990.25",86.60,1.74
Shree Cements,"27,936.75","26,654.50","27,545.35","27,078.45",466.90,1.72
JK Tyre & Ind,140.35,136.20,138.45,136.15,2.30,1.69
Thermax,"2,118.00","2,033.00","2,100.75","2,065.90",34.85,1.69
Jamna Auto,125.00,119.00,121.75,119.75,2.00,1.67
Bajaj Auto,"3,527.00","3,434.05","3,489.75","3,432.80",56.95,1.66
Ceat,"1,167.00","1,143.00","1,158.15","1,139.60",18.55,1.63
BASF,"3,279.90","3,150.00","3,195.55","3,144.95",50.60,1.61
JSW Energy,315.00,308.00,312.55,307.60,4.95,1.61
Prestige Estate,530.20,504.50,512.45,504.45,8.00,1.59
Prism Johnson,160.00,150.25,151.00,148.65,2.35,1.58
Bandhan Bank,303.75,296.15,301.20,296.55,4.65,1.57
Rallis India,289.40,281.45,287.00,282.55,4.45,1.57
DLF,425.00,413.20,423.80,417.35,6.45,1.55
Dhanuka Agritec,774.75,753.20,768.55,757.05,11.50,1.52
M&M Financial,168.50,164.75,167.40,164.90,2.50,1.52
Cummins,"1,009.20",986.00,"1,001.75",986.85,14.90,1.51
JM Financial,78.55,76.65,77.20,76.05,1.15,1.51
Atul,"10,723.00","10,400.05","10,663.45","10,506.55",156.90,1.49
Varun Beverages,951.00,913.70,942.50,928.65,13.85,1.49
Symphony,"1,089.00","1,069.15","1,077.45","1,061.70",15.75,1.48
Blue Star,"1,053.35","1,032.20","1,049.90","1,034.70",15.20,1.47
Zensar Tech,484.40,473.00,480.90,474.00,6.90,1.46
Vardhman Text,"2,739.95","2,670.70","2,729.25","2,689.95",39.30,1.46
Tata Power,249.25,245.00,247.85,244.40,3.45,1.41
Ircon Internati,48.15,47.10,47.70,47.05,0.65,1.38
Tata Elxsi,"6,505.15","6,345.00","6,398.10","6,312.00",86.10,1.36
NCC,79.90,76.85,78.75,77.70,1.05,1.35
Kaveri Seed,563.55,549.95,560.00,552.60,7.40,1.34
Bajaj Electric,"1,248.00","1,226.25","1,242.50","1,226.15",16.35,1.33
Tata Steel,"1,245.00","1,190.35","1,229.75","1,213.60",16.15,1.33
Lakshmi Machine,"10,425.00","10,031.65","10,238.25","10,105.00",133.25,1.32
NESCO,609.00,594.00,603.95,596.25,7.70,1.29
TCS,"4,043.00","3,962.30","4,019.15","3,968.15",51.00,1.29
CDSL,"1,654.00","1,620.85","1,636.10","1,615.50",20.60,1.28
Ambuja Cements,408.70,395.00,407.80,402.70,5.10,1.27
Jindal (Hisar),393.90,383.00,389.35,384.45,4.90,1.27
Triveni Turbine,209.70,201.05,204.55,202.00,2.55,1.26
IDFC,66.00,63.55,64.95,64.15,0.80,1.25
PNC Infratech,313.75,305.40,307.35,303.55,3.80,1.25
Larsen,"2,071.95","2,042.00","2,069.40","2,044.75",24.65,1.21
Uflex,549.50,535.20,544.70,538.25,6.45,1.2
PVR,"1,589.70","1,554.45","1,573.05","1,554.45",18.60,1.2
Bajaj Holdings,"5,518.00","5,435.00","5,496.05","5,431.15",64.90,1.19
ICICI Lombard ,"1,464.30","1,415.55","1,432.35","1,415.55",16.80,1.19
Bosch,"17,929.95","17,599.50","17,692.30","17,486.00",206.30,1.18
Supreme Petro,742.00,726.10,736.25,727.80,8.45,1.16
TV18 Broadcast,49.40,48.40,48.75,48.20,0.55,1.14
Ashok Leyland,141.90,137.55,139.30,137.75,1.55,1.13
Narayana Hruda,638.00,623.25,632.30,625.30,7.00,1.12
Bharti Airtel,734.75,719.55,728.60,720.60,8.00,1.11
SBI,518.90,507.55,514.00,508.35,5.65,1.11
Sonata,898.30,837.95,872.15,862.60,9.55,1.11
HUL,"2,394.20","2,345.00","2,389.55","2,363.70",25.85,1.09
Piramal Enter,"2,677.00","2,635.00","2,671.85","2,642.95",28.90,1.09
