company_name,high,low,last_price,prev_close,change,percent_gain
Power Grid Corp,188.75,182.00,188.30,182.00,6.3,3.46
Cipla,939.85,910.10,938.15,915.95,22.2,2.42
ITC,239.00,233.10,238.10,232.90,5.2,2.23
ONGC,162.25,156.00,157.80,154.65,3.15,2.04
UPL,791.40,770.35,784.05,769.55,14.5,1.88
Nestle,"19,499.00","19,069.85","19,476.60","19,142.45",334.15,1.75
Britannia,"3,747.60","3,674.00","3,742.60","3,687.95",54.65,1.48
Asian Paints,"3,180.00","3,126.00","3,168.70","3,122.90",45.8,1.47
Divis Labs,"4,927.00","4,852.80","4,907.65","4,843.80",63.85,1.32
Kotak Mahindra,"2,108.00","2,080.00","2,097.30","2,074.70",22.6,1.09
HUL,"2,430.00","2,404.10","2,424.75","2,404.95",19.8,0.82
TCS,"3,569.60","3,528.00","3,553.30","3,526.05",27.25,0.77
Dr Reddys Labs,"4,899.00","4,833.05","4,873.65","4,843.25",30.4,0.63
TATA Cons. Prod,858.00,847.45,852.55,847.90,4.65,0.55
Sun Pharma,819.65,806.65,810.70,806.50,4.2,0.52
NTPC,137.65,136.00,137.15,136.45,0.7,0.51
IndusInd Bank,"1,051.00","1,032.55","1,041.50","1,037.05",4.45,0.43
Infosys,"1,800.00","1,775.50","1,787.15","1,780.20",6.95,0.39
Hero Motocorp,"2,784.80","2,686.00","2,693.25","2,683.05",10.2,0.38
Maruti Suzuki,"7,579.85","7,452.00","7,503.10","7,479.85",23.25,0.31
HDFC,"3,021.10","2,971.00","3,000.85","2,992.65",8.2,0.27
HDFC Bank,"1,571.85","1,554.40","1,557.25","1,553.00",4.25,0.27
